heldout_perturbation_ids	source_neighborhood_fraction	source_neighborhood_k	same_cell_line_purity	same_cell_line_coverage	same_batch_purity	same_perturbation_purity	top1_same_cell_line	top1_same_batch	top1_same_perturbation
1,3,7	0.3333333333333333	9	0.7860082304526749	0.7860082304526749	0.40329218106995884	0.3333333333333333	1.0	1.0	1.0
1,3,7	0.5	14	0.5873015873015873	0.9135802469135803	0.3544973544973545	0.3333333333333333	1.0	1.0	1.0
1,3,7	0.6666666666666666	18	0.48148148148148145	0.9629629629629629	0.3333333333333333	0.33539094650205764	1.0	1.0	1.0
1,3,7	1.0	27	0.3333333333333333	1.0	0.3333333333333333	0.3333333333333333	1.0	1.0	1.0
1,3,8	0.3333333333333333	9	0.8106995884773662	0.8106995884773661	0.3786008230452675	0.345679012345679	1.0	1.0	1.0
1,3,8	0.5	14	0.5846560846560847	0.9094650205761317	0.35714285714285715	0.335978835978836	1.0	1.0	1.0
1,3,8	0.6666666666666666	18	0.48559670781893005	0.9711934156378601	0.3374485596707819	0.33539094650205764	1.0	1.0	1.0
1,3,8	1.0	27	0.3333333333333333	1.0	0.3333333333333333	0.3333333333333333	1.0	1.0	1.0
1,4,5	0.3333333333333333	9	0.7613168724279835	0.7613168724279836	0.4074074074074074	0.34156378600823045	1.0	1.0	1.0
1,4,5	0.5	14	0.582010582010582	0.9053497942386831	0.3439153439153439	0.3306878306878307	1.0	1.0	1.0
1,4,5	0.6666666666666666	18	0.48559670781893005	0.9711934156378601	0.32510288065843623	0.3292181069958848	1.0	1.0	1.0
1,4,5	1.0	27	0.3333333333333333	1.0	0.3333333333333333	0.3333333333333333	1.0	1.0	1.0
1,4,6	0.3333333333333333	9	0.757201646090535	0.757201646090535	0.4074074074074074	0.3662551440329218	1.0	1.0	1.0
1,4,6	0.5	14	0.5714285714285714	0.8888888888888888	0.3544973544973545	0.3253968253968254	1.0	1.0	1.0
1,4,6	0.6666666666666666	18	0.4794238683127572	0.9588477366255144	0.3374485596707819	0.3333333333333333	1.0	1.0	1.0
1,4,6	1.0	27	0.3333333333333333	1.0	0.3333333333333333	0.3333333333333333	1.0	1.0	1.0
1,4,7	0.3333333333333333	9	0.7489711934156379	0.7489711934156378	0.411522633744856	0.34156378600823045	1.0	1.0	1.0
1,4,7	0.5	14	0.5687830687830688	0.8847736625514402	0.3439153439153439	0.3306878306878307	1.0	1.0	1.0
1,4,7	0.6666666666666666	18	0.48148148148148145	0.9629629629629629	0.3333333333333333	0.3333333333333333	1.0	1.0	1.0
1,4,7	1.0	27	0.3333333333333333	1.0	0.3333333333333333	0.3333333333333333	1.0	1.0	1.0
1,4,8	0.3333333333333333	9	0.7654320987654321	0.7654320987654321	0.3950617283950617	0.3497942386831276	1.0	1.0	1.0
1,4,8	0.5	14	0.5687830687830688	0.8847736625514402	0.3544973544973545	0.328042328042328	1.0	1.0	1.0
1,4,8	0.6666666666666666	18	0.48148148148148145	0.9629629629629628	0.3333333333333333	0.33127572016460904	1.0	1.0	1.0
1,4,8	1.0	27	0.3333333333333333	1.0	0.3333333333333333	0.3333333333333333	1.0	1.0	1.0
1,5,6	0.3333333333333333	9	0.7860082304526749	0.7860082304526748	0.4074074074074074	0.35390946502057613	1.0	1.0	1.0
1,5,6	0.5	14	0.5846560846560847	0.9094650205761317	0.35185185185185186	0.3306878306878307	1.0	1.0	1.0
1,5,6	0.6666666666666666	18	0.4876543209876543	0.9753086419753088	0.33127572016460904	0.3374485596707819	1.0	1.0	1.0
1,5,6	1.0	27	0.3333333333333333	1.0	0.3333333333333333	0.3333333333333333	1.0	1.0	1.0
1,5,7	0.3333333333333333	9	0.7860082304526749	0.7860082304526749	0.4074074074074074	0.34156378600823045	1.0	1.0	1.0
1,5,7	0.5	14	0.582010582010582	0.9053497942386831	0.3386243386243386	0.328042328042328	1.0	1.0	1.0
1,5,7	0.6666666666666666	18	0.4876543209876543	0.9753086419753088	0.33539094650205764	0.33539094650205764	1.0	1.0	1.0
1,5,7	1.0	27	0.3333333333333333	1.0	0.3333333333333333	0.3333333333333333	1.0	1.0	1.0
1,5,8	0.3333333333333333	9	0.7942386831275721	0.794238683127572	0.3991769547325103	0.35390946502057613	1.0	1.0	1.0
1,5,8	0.5	14	0.5846560846560847	0.9094650205761318	0.35185185185185186	0.335978835978836	1.0	1.0	1.0
1,5,8	0.6666666666666666	18	0.4897119341563786	0.9794238683127572	0.3292181069958848	0.3333333333333333	1.0	1.0	1.0
1,5,8	1.0	27	0.3333333333333333	1.0	0.3333333333333333	0.3333333333333333	1.0	1.0	1.0
1,6,7	0.3333333333333333	9	0.7777777777777778	0.7777777777777778	0.40329218106995884	0.3497942386831276	1.0	1.0	1.0
1,6,7	0.5	14	0.5740740740740741	0.8930041152263376	0.34656084656084657	0.328042328042328	1.0	1.0	1.0
1,6,7	0.6666666666666666	18	0.48559670781893005	0.9711934156378601	0.3333333333333333	0.3374485596707819	1.0	1.0	1.0
1,6,7	1.0	27	0.3333333333333333	1.0	0.3333333333333333	0.3333333333333333	1.0	1.0	1.0
1,6,8	0.3333333333333333	9	0.7818930041152263	0.7818930041152263	0.3786008230452675	0.35390946502057613	1.0	1.0	1.0
1,6,8	0.5	14	0.5793650793650794	0.9012345679012346	0.36507936507936506	0.328042328042328	1.0	1.0	1.0
1,6,8	0.6666666666666666	18	0.48559670781893005	0.9711934156378601	0.3395061728395062	0.3374485596707819	1.0	1.0	1.0
1,6,8	1.0	27	0.3333333333333333	1.0	0.3333333333333333	0.3333333333333333	1.0	1.0	1.0
1,7,8	0.3333333333333333	9	0.7818930041152263	0.7818930041152263	0.39094650205761317	0.34156378600823045	1.0	1.0	1.0
1,7,8	0.5	14	0.5793650793650794	0.9012345679012346	0.3386243386243386	0.328042328042328	1.0	1.0	1.0
