heldout_perturbation_ids	source_neighborhood_fraction	source_neighborhood_k	same_cell_line_purity	same_cell_line_coverage	same_batch_purity	same_perturbation_purity	top1_same_cell_line	top1_same_batch	top1_same_perturbation
1,5,8	0.6666666666666666	18	0.4444444444444444	0.8888888888888888	0.34156378600823045	0.3292181069958848	1.0	1.0	1.0
1,5,8	1.0	27	0.3333333333333333	1.0	0.3333333333333333	0.3333333333333333	1.0	1.0	1.0
1,6,7	0.3333333333333333	9	0.6954732510288066	0.6954732510288066	0.37448559670781895	0.3333333333333333	1.0	1.0	1.0
1,6,7	0.5	14	0.5555555555555556	0.8641975308641975	0.34656084656084657	0.34656084656084657	1.0	1.0	1.0
1,6,7	0.6666666666666666	18	0.4691358024691358	0.9382716049382717	0.3292181069958848	0.33539094650205764	1.0	1.0	1.0
1,6,7	1.0	27	0.3333333333333333	1.0	0.3333333333333333	0.3333333333333333	1.0	1.0	1.0
1,6,8	0.3333333333333333	9	0.7242798353909465	0.7242798353909466	0.3950617283950617	0.3168724279835391	1.0	1.0	1.0
1,6,8	0.5	14	0.5476190476190477	0.8518518518518519	0.35185185185185186	0.34656084656084657	1.0	1.0	1.0
1,6,8	0.6666666666666666	18	0.46502057613168724	0.9300411522633746	0.33539094650205764	0.3374485596707819	1.0	1.0	1.0
1,6,8	1.0	27	0.3333333333333333	1.0	0.3333333333333333	0.3333333333333333	1.0	1.0	1.0
1,7,8	0.3333333333333333	9	0.7037037037037037	0.7037037037037038	0.3786008230452675	0.3374485596707819	1.0	1.0	1.0
1,7,8	0.5	14	0.5740740740740741	0.8930041152263374	0.3333333333333333	0.34656084656084657	1.0	1.0	1.0
1,7,8	0.6666666666666666	18	0.46296296296296297	0.9259259259259259	0.3395061728395062	0.3477366255144033	1.0	1.0	1.0
1,7,8	1.0	27	0.3333333333333333	1.0	0.3333333333333333	0.3333333333333333	1.0	1.0	1.0
2,3,4	0.3333333333333333	9	0.7530864197530864	0.7530864197530863	0.3950617283950617	0.345679012345679	1.0	1.0	1.0
2,3,4	0.5	14	0.5925925925925926	0.9218106995884774	0.335978835978836	0.3253968253968254	1.0	1.0	1.0
2,3,4	0.6666666666666666	18	0.4835390946502058	0.9670781893004117	0.3230452674897119	0.32510288065843623	1.0	1.0	1.0
2,3,4	1.0	27	0.3333333333333333	1.0	0.3333333333333333	0.3333333333333333	1.0	1.0	1.0
2,3,5	0.3333333333333333	9	0.7242798353909465	0.7242798353909464	0.3786008230452675	0.36213991769547327	1.0	1.0	1.0
2,3,5	0.5	14	0.5661375661375662	0.8806584362139918	0.3412698412698413	0.3306878306878307	1.0	1.0	1.0
2,3,5	0.6666666666666666	18	0.4711934156378601	0.9423868312757201	0.3395061728395062	0.3333333333333333	1.0	1.0	1.0
2,3,5	1.0	27	0.3333333333333333	1.0	0.3333333333333333	0.3333333333333333	1.0	1.0	1.0
2,3,6	0.3333333333333333	9	0.7489711934156379	0.7489711934156378	0.3868312757201646	0.35390946502057613	1.0	1.0	1.0
2,3,6	0.5	14	0.5846560846560847	0.9094650205761318	0.3386243386243386	0.3306878306878307	1.0	1.0	1.0
2,3,6	0.6666666666666666	18	0.47530864197530864	0.9506172839506172	0.33127572016460904	0.33127572016460904	1.0	1.0	1.0
2,3,6	1.0	27	0.3333333333333333	1.0	0.3333333333333333	0.3333333333333333	1.0	1.0	1.0
2,3,7	0.3333333333333333	9	0.7325102880658436	0.7325102880658436	0.38271604938271603	0.35802469135802467	1.0	1.0	0.9629629629629629
2,3,7	0.5	14	0.5873015873015873	0.9135802469135803	0.3306878306878307	0.3333333333333333	1.0	1.0	0.9629629629629629
2,3,7	0.6666666666666666	18	0.4794238683127572	0.9588477366255144	0.3271604938271605	0.32510288065843623	1.0	1.0	0.9629629629629629
2,3,7	1.0	27	0.3333333333333333	1.0	0.3333333333333333	0.3333333333333333	1.0	1.0	0.9629629629629629
2,3,8	0.3333333333333333	9	0.7448559670781894	0.7448559670781892	0.37448559670781895	0.35802469135802467	1.0	1.0	1.0
2,3,8	0.5	14	0.5740740740740741	0.8930041152263374	0.328042328042328	0.335978835978836	1.0	1.0	1.0
2,3,8	0.6666666666666666	18	0.46296296296296297	0.9259259259259259	0.3436213991769547	0.3292181069958848	1.0	1.0	1.0
2,3,8	1.0	27	0.3333333333333333	1.0	0.3333333333333333	0.3333333333333333	1.0	1.0	1.0
2,4,5	0.3333333333333333	9	0.7119341563786008	0.7119341563786009	0.411522633744856	0.34156378600823045	1.0	1.0	1.0
2,4,5	0.5	14	0.5661375661375662	0.8806584362139918	0.35185185185185186	0.3306878306878307	1.0	1.0	1.0
2,4,5	0.6666666666666666	18	0.4732510288065844	0.9465020576131686	0.33127572016460904	0.3271604938271605	1.0	1.0	1.0
2,4,5	1.0	27	0.3333333333333333	1.0	0.3333333333333333	0.3333333333333333	1.0	1.0	1.0
