left_out_perturbation_id	alpha_source_only	support_threshold	active_fraction	transition_gap_vs_full	recall_gap_vs_full	delta_cosine_gap_vs_full
2	0.2	0.8095962997559084	0.7777777777777778	0.001331597736858598	0.0	0.004963224887242268
2	0.2	0.8246484669806763	0.7777777777777778	0.001331597736858598	0.0	0.004963224887242268
2	0.2	0.851848739058562	0.7777777777777778	0.001331597736858598	0.0	0.004963224887242268
2	0.2	0.8610325423104322	0.5555555555555556	0.0007158792588966385	0.0	0.0013491168072317095
2	0.2	0.8862745398781099	0.3333333333333333	0.000542488261721763	0.0	0.0005296041913522842
2	0.2	0.9009006851442267	0.2222222222222222	0.0004194435919062413	0.0	0.002125005018152659
2	0.2	0.9109358336891847	0.1111111111111111	0.0002463089211907571	0.0	0.0011061779943505323
2	0.2	0.9331897071205175	0.1111111111111111	0.0002463089211907571	0.0	0.0011061779943505323
2	0.2	0.9566618557676194	0.0	0.0	0.0	0.0
2	0.2	0.9566628557676194	0.0	0.0	0.0	0.0
2	0.35	0.4933503502876452	1.0	0.0036428618348205684	0.0	0.014795399639190354
2	0.35	0.706549260900512	1.0	0.0036428618348205684	0.0	0.014795399639190354
2	0.35	0.7653276194698803	1.0	0.0036428618348205684	0.0	0.014795399639190354
2	0.35	0.7931358005091581	0.8888888888888888	0.0029017434752509745	0.0	0.010964509748754736
2	0.35	0.8095962997559084	0.7777777777777778	0.002255275532897431	0.0	0.00862528191791534
2	0.35	0.8246484669806763	0.7777777777777778	0.002255275532897431	0.0	0.00862528191791534
2	0.35	0.851848739058562	0.7777777777777778	0.002255275532897431	0.0	0.00862528191791534
2	0.35	0.8610325423104322	0.5555555555555556	0.00119183075802693	0.0	0.002173895127168479
2	0.35	0.8862745398781099	0.3333333333333333	0.0009008536156805969	0.0	0.0008207881361638192
2	0.35	0.9009006851442267	0.2222222222222222	0.0007078932036484898	0.0	0.003659045900269109
2	0.35	0.9109358336891847	0.1111111111111111	0.00041846422316812147	0.0	0.0019245391349309582
2	0.35	0.9331897071205175	0.1111111111111111	0.00041846422316812147	0.0	0.0019245391349309582
2	0.35	0.9566618557676194	0.0	0.0	0.0	0.0
2	0.35	0.9566628557676194	0.0	0.0	0.0	0.0
2	0.5	0.4933503502876452	1.0	0.004986094660391053	0.0	0.020837325034957666
2	0.5	0.706549260900512	1.0	0.004986094660391053	0.0	0.020837325034957666
2	0.5	0.7653276194698803	1.0	0.004986094660391053	0.0	0.020837325034957666
2	0.5	0.7931358005091581	0.8888888888888888	0.004018667334398682	0.0	0.015692877501899793
2	0.5	0.8095962997559084	0.7777777777777778	0.0031136993145219403	0.0	0.012197405516898074
2	0.5	0.8246484669806763	0.7777777777777778	0.0031136993145219403	0.0	0.012197405516898074
2	0.5	0.851848739058562	0.7777777777777778	0.0031136993145219403	0.0	0.012197405516898074
2	0.5	0.8610325423104322	0.5555555555555556	0.00161505577249621	0.0	0.002837426387901798
2	0.5	0.8862745398781099	0.3333333333333333	0.0012171764434084882	0.0	0.0010165258809666233
2	0.5	0.9009006851442267	0.2222222222222222	0.0009736687257373422	0.0	0.005135095452735272
2	0.5	0.9109358336891847	0.1111111111111111	0.0005796461302474748	0.0	0.0027277815522110394
2	0.5	0.9331897071205175	0.1111111111111111	0.0005796461302474748	0.0	0.0027277815522110394
2	0.5	0.9566618557676194	0.0	0.0	0.0	0.0
2	0.5	0.9566628557676194	0.0	0.0	0.0	0.0
3	0.025	0.4933503502876452	1.0	6.701740326231498e-05	0.0	0.0015052358298063284
3	0.025	0.706549260900512	0.8888888888888888	-1.1854897977343903e-05	0.0	0.0003033967614610722
3	0.025	0.7653276194698803	0.6666666666666666	-0.00010142526172823157	0.0	-0.00028418739211055755
3	0.025	0.7931358005091581	0.5555555555555556	-0.00010811689327330787	0.0	-0.0003326079701895246
