alpha_source_only	support_threshold	mean_active_fraction	mean_transition_gap	min_transition_gap	mean_recall_gap	min_recall_gap	mean_delta_cosine_gap	min_delta_cosine_gap
0.15	0.8610325423104322	0.41666666666666663	0.00030472823015519795	-0.000743696526359007	0.0	0.0	0.0015653885745037961	-0.0027592915986737188
0.15	0.8862745398781099	0.3333333333333333	0.0001908430525491623	-0.000710612474183768	0.0	0.0	0.0009676053599899474	-0.002507750350279059
0.15	0.9009006851442267	0.25	0.00010036196805302932	-0.0006834661375418258	0.0	0.0	0.0003919785955780186	-0.0023744089518545897
0.15	0.9109358336891847	0.16666666666666666	-3.222600544429291e-05	-0.0005312182391749611	0.0	0.0	-0.00012114824904026905	-0.0017622309469238484
0.15	0.9331897071205175	0.08333333333333333	-9.60558549079985e-05	-0.0005312182391749611	0.0	0.0	-0.00019789264448207347	-0.0017622309469238484
0.15	0.9566618557676194	0.013888888888888888	-4.416059613241655e-05	-0.0003532847690593324	0.0	0.0	-5.264253452084977e-05	-0.00042114027616679817
0.15	0.9566628557676194	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.2	0.4933503502876452	1.0	0.0007749671024914207	0.00010760139508955713	-0.013888888888888895	-0.11111111111111116	0.004567588726283978	-0.0019031971461991315
0.2	0.706549260900512	0.9166666666666666	0.000696703738554705	-0.00037079602202835793	-0.013888888888888895	-0.11111111111111116	0.003831708507404861	-0.0007922741027276414
0.2	0.7653276194698803	0.8333333333333333	0.0005674855276099595	-0.001057611355115111	-0.013888888888888895	-0.11111111111111116	0.00286664742530722	-0.003896385948373049
0.2	0.7931358005091581	0.75	0.0005474874782796168	-0.001102191345693261	-0.013888888888888895	-0.11111111111111116	0.0026967207903086446	-0.004178160608851789
0.2	0.8095962997559084	0.6666666666666666	0.00048382937304663803	-0.001046137958006281	-0.013888888888888895	-0.11111111111111116	0.002225019149205233	-0.003969654413693013
0.2	0.8246484669806763	0.5833333333333333	0.00043338492877690617	-0.001046137958006281	-0.013888888888888895	-0.11111111111111116	0.0023211289187008884	-0.003969654413693013
0.2	0.851848739058562	0.5	0.0004799453930757236	-0.001046137958006281	-0.013888888888888895	-0.11111111111111116	0.0022745695646016195	-0.003969654413693013
0.2	0.8610325423104322	0.41666666666666663	0.00037973824335771073	-0.001046137958006281	-0.013888888888888895	-0.11111111111111116	0.0019628841111880777	-0.003969654413693013
0.2	0.8862745398781099	0.3333333333333333	0.000231217560026063	-0.0010000788966107524	0.0	0.0	0.001189356756559616	-0.0036113876757262187
