seed	scale	safe_train	transition_improvement_train	delta_cosine_train	recall_at_1_train	gap_transition_train	gap_delta_cosine_train	gap_recall_train	broken_count_train	near_tie_erosions	margin_q10_change	mean_margin_change_train	near_tie_count	safe_eval	transition_improvement_eval	delta_cosine_eval	recall_at_1_eval	gap_transition_eval	gap_delta_cosine_eval	gap_recall_eval	broken_count_eval	repaired_count	mean_margin_change_eval	train_continuous_safe	train_no_broken	train_no_near_tie_erosion	train_q10_nonnegative	heldout_safe	heldout_nonzero_safe	oracle_max_safe_scale
2	0.0	True	0.3153805165186342	0.9472656765128912	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36.0	True	0.2724394655216964	0.932261923188985	1.0	0.0	0.0	0.0	0.0	0.0	0.0	True	True	True	True	True	False	1.0
2	0.025	False	0.3158614522229553	0.9481806678220656	0.5	0.000480935704321	0.0009149913091743	0.0	0.0	19.0	6.124297351306485e-06	5.04890160700504e-05	36.0	True	0.2726957729246734	0.9329710273717652	1.0	0.0002563074029769	0.0007091041827801	0.0	0.0	0.0	0.0004125595692557	True	True	False	True	True	True	1.0
2	0.05	False	0.3163307304470339	0.9490703457884742	0.5	0.0009502139283997	0.0018046692755829	0.0	0.0	22.0	1.2249415693554866e-05	0.0001008829920102	36.0	True	0.2729395390528378	0.9336522448092084	1.0	0.0005000735311414	0.0013903216202234	0.0	0.0	0.0	0.0008239838892318	True	True	False	True	True	True	1.0
2	0.1	False	0.3172342237971846	0.9507740300432728	0.5	0.0018537072785503	0.0035083535303817	0.0	1.0	26.0	2.450215127491884e-05	0.0002013757660791	36.0	True	0.2733893815774529	0.9349316069310616	1.0	0.0009499160557565	0.0026696837420766	0.0	0.0	0.0	0.001668404229711	True	False	False	True	True	True	1.0
2	0.15	False	0.3180908362723342	0.9523773779692464	0.5	0.0027103197537	0.005111701456355	0.0	1.0	26.0	3.675827637922291e-05	0.0003014587465722	36.0	True	0.2737888890164376	0.9361013171778478	1.0	0.0013494234947412	0.0038393939888627	0.0	0.0	0.0	0.002531654596762	True	False	False	True	True	True	1.0
2	0.2	False	0.3189004421187479	0.953881211178472	0.5	0.0035199256001136	0.0066155346655807	0.0	3.0	28.0	4.90178570948796e-05	0.0004011132140423	36.0	True	0.2741380027428299	0.937162885363965	1.0	0.0016985372211335	0.0049009621749799	0.0	0.0	0.0	0.0033943742046679	True	False	False	True	True	True	1.0
2	0.25	False	0.3196629513532865	0.9552865145601228	0.5	0.0042824348346522	0.0080208380472317	0.0	3.0	28.0	6.128095596397154e-05	0.0005003212949226	36.0	True	0.2744367109940031	0.9381180083739296	1.0	0.0019972454723067	0.0058560851849445	0.0	0.0	0.0	0.0042560588149026	True	False	False	True	True	True	1.0
2	0.5	False	0.3227685312196722	0.9608796190975484	0.5	0.007388014701038	0.0136139425846572	0.0	4.0	29.0	-0.0006904436093685	0.0009890980020031	36.0	True	0.2751771771234912	0.9413673822776514	1.0	0.0027377116017948	0.0091054590886663	0.0	0.0	0.0	0.0085310517435845	True	False	False	False	True	True	1.0
2	0.75	False	0.3247052941383559	0.9642314757023164	0.5	0.0093247776197216	0.016965799189425	0.0	4.0	29.0	-0.0009860253373767	0.0014616398466116	36.0	True	0.2746842417984401	0.94228889744595	1.0	0.0022447762767437	0.010026974256965	0.0	0.0	0.0	0.0127303056206977	True	False	False	False	True	True	1.0
2	1.0	False	0.3255060302154063	0.9655801187924382	0.5	0.010125513696772	0.018314442279547	0.0	13.0	30.0	-0.0024444705907846	0.0018992612612719	36.0	True	0.2730124638633298	0.9412069558881228	1.0	0.0005729983416333	0.0089450326991378	0.0	0.0	0.0	0.016932207276044	True	False	False	False	True	True	1.0
3	0.0	True	0.5964334664363728	0.9479116135821664	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35.0	True	0.5212980055525284	0.9320907531731708	1.0	0.0	0.0	0.0	0.0	0.0	0.0	True	True	True	True	True	False	0.5
3	0.025	False	0.5978911098898708	0.949431399267812	0.5	0.0014576434534979	0.0015197856856455	0.0	0.0	19.0	-9.295405805087588e-05	0.0	35.0	True	0.5218404313981705	0.9330292797574394	1.0	0.0005424258456421	0.0009385265842687	0.0	0.0	0.0	0.0009221890907472	True	True	False	True	True	True	0.5
3	0.05	False	0.5992923762902285	0.950910319870078	0.5	0.0028589098538556	0.0029987062879115	0.0	0.0	21.0	-0.0002638233730036	0.0	35.0	True	0.52233546715805	0.933926096448822	1.0	0.0010374616055216	0.0018353432756511	0.0	0.0	0.0	0.0018229623640692	True	True	False	False	True	True	0.5
3	0.1	False	0.6019302293407951	0.9537453021322712	0.5	0.0054967629044222	0.0058336885501047	0.0	3.0	21.0	-0.0007419789467541	0.0	35.0	True	0.5231890444017553	0.9355949390533131	1.0	0.0018910388492269	0.0035041858801425	0.0	0.0	0.0	0.0035623554724147	True	False	False	False	True	True	0.5
3	0.15	False	0.6043560097552403	0.9564162357391096	0.5	0.0079225433188674	0.0085046221569431	0.0	5.0	23.0	-0.0012560773271729	0.0	35.0	True	0.5238699108369773	0.937098168769531	1.0	0.0025719052844489	0.0050074155963603	0.0	0.0	0.0	0.0052208825128673	True	False	False	False	True	True	0.5
3	0.2	False	0.606578753844524	0.9589231159665782	0.5	0.0101452874081511	0.0110115023844117	0.0	6.0	23.0	-0.0016626739940354	0.0	35.0	True	0.5243888855217779	0.9384369996107976	1.0	0.0030908799692495	0.006346246437627	0.0	0.0	0.0	0.0068011088916692	True	False	False	False	True	True	0.5
3	0.25	False	0.6086074498051888	0.961266249858256	0.5	0.0121739833688159	0.0133546362760894	0.0	6.0	24.0	-0.00193459860588	0.0	35.0	True	0.5247563509549311	0.9396129562986936	1.0	0.0034583454024027	0.0075222031255227	0.0	0.0	0.0	0.0083057380669393	True	False	False	False	True	True	0.5
3	0.5	False	0.6161419370960706	0.9705568593526002	0.5	0.0197084706596977	0.0226452457704336	0.0	9.0	24.0	-0.004619910550271	0.0	35.0	True	0.5246476813386517	0.9431224340557854	1.0	0.0033496757861233	0.0110316808826147	0.0	0.0	0.0	0.0117952744120192	True	False	False	False	True	True	0.5
3	0.75	False	0.620036086756495	0.975956906145662	0.5	0.0236026203201221	0.0280452925634954	0.0	11.0	25.0	-0.0123993996587109	0.0	35.0	False	0.5219967867171464	0.942933809468687	0.9629629629629628	0.000698781164618	0.0108430562955162	-0.037037037037037	1.0	0.0	0.012572686129137	True	False	False	False	False	False	0.5
3	1.0	False	0.6210798931966719	0.9777710817813472	0.5	0.024646426760299	0.0298594681991808	0.0	18.0	27.0	-0.0216927786565161	0.0	35.0	False	0.5175015564957924	0.93946817297888	0.925925925925926	-0.0037964490567359	0.0073774198057093	-0.074074074074074	2.0	0.0	0.0135763909962237	True	False	False	False	False	False	0.5
4	0.0	True	0.6985857906455684	0.9562826450260532	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36.0	True	0.5571293539076213	0.9200586293997616	0.8148148148148148	0.0	0.0	0.0	0.0	0.0	0.0	True	True	True	True	True	False	1.0
4	0.025	False	0.6995293793695956	0.9579048390604844	0.5	0.0009435887240272	0.0016221940344312	0.0	0.0	22.0	-0.0001635514892285	1.7408052322291184e-05	36.0	True	0.5579035629085697	0.9216568802274382	0.8148148148148148	0.0007742090009483	0.0015982508276765	0.0	0.0	0.0	0.0002214102188219	True	True	False	False	True	True	1.0
4	0.05	False	0.7004388476228481	0.9594886989871853	0.5	0.0018530569772797	0.0032060539611318	0.0	0.0	25.0	-0.0002853566823154	2.5613794582828493e-05	36.0	True	0.5586430017679939	0.923212422496186	0.8148148148148148	0.0015136478603725	0.0031537930964243	0.0	0.0	0.0	0.0004406790916259	True	True	False	False	True	True	1.0
4	0.1	False	0.7021584045234767	0.962539238527198	0.5	0.0035726138779083	0.0062565935011447	0.0	0.0	28.0	-0.0006325521758282	2.5613794582828493e-05	36.0	True	0.560021069790567	0.926192822729444	0.8148148148148148	0.0028917158829456	0.0061341933296824	0.0	0.0	0.0	0.0008946107474889	True	True	False	False	True	True	1.0
4	0.15	False	0.7037502355024041	0.9654302010704808	0.5	0.0051644448568357	0.0091475560444276	0.0	0.0	30.0	-0.0009579863385201	2.5613794582828493e-05	36.0	True	0.5612703222378526	0.9289951009771832	0.8148148148148148	0.0041409683302312	0.0089364715774216	0.0	0.0	0.0	0.0013305574914158	True	True	False	False	True	True	1.0
4	0.2	False	0.7052198146527383	0.9681580539633418	0.5	0.0066340240071699	0.0118754089372884	0.0	0.0	30.0	-0.0013117235123898	2.5613794582828493e-05	36.0	True	0.5623971485153377	0.9316152213234952	0.8148148148148148	0.0052677946077164	0.0115565919237334	0.0	0.0	0.0	0.0017390939354687	True	True	False	False	True	True	1.0
4	0.25	False	0.706572322105123	0.9707198699715532	0.5	0.0079865314595546	0.0144372249454998	0.0	0.0	30.0	-0.0016594625032352	2.5613794582828493e-05	36.0	True	0.5634075718262159	0.934049929516194	0.8148148148148148	0.0062782179185946	0.0139913001164323	0.0	0.0	0.0	0.0021471432468404	True	True	False	False	True	True	1.0
4	0.5	False	0.7117406006551071	0.9809839541121044	0.5	0.0131548100095387	0.0247013090860509	0.0	3.0	30.0	-0.0027572909655093	2.5613794582828493e-05	36.0	True	0.5669002791798793	0.943389176892199	0.8148148148148148	0.0097709252722579	0.0233305474924373	0.0	0.0	0.0	0.0044012905082551	True	False	False	False	True	True	1.0
4	0.75	False	0.7146063475186604	0.9870506676581982	0.5	0.016020556873092	0.0307680226321448	0.0	9.0	30.0	-0.0044312971262083	2.5613794582828493e-05	36.0	True	0.5681972574792232	0.9480959910566844	0.8148148148148148	0.0110679035716019	0.0280373616569228	0.0	0.0	0.0	0.0068936080693977	True	False	False	False	True	True	1.0
