heldout_perturbation_ids	space	label_col	recall_at_1	recall_at_5	map	median_rank
2,5,7	endpoint	perturbation_label	0.2962962962962963	0.8518518518518519	0.405167685293182	3.0
2,5,7	endpoint	cell_line_label	0.6296296296296297	1.0	0.5953819346132669	1.0
2,5,7	delta	condition_key	0.4074074074074074	0.6296296296296297	0.3159761019659291	2.0
2,5,7	delta	perturbation_label	0.5185185185185185	0.7037037037037037	0.49862631962529097	1.0
2,5,7	delta	cell_line_label	0.5925925925925926	1.0	0.44782568599566225	1.0
2,5,8	endpoint	condition_key	0.1111111111111111	0.5925925925925926	0.25955465908193703	5.0
2,5,8	endpoint	perturbation_label	0.2962962962962963	0.8888888888888888	0.4055756269364185	2.0
2,5,8	endpoint	cell_line_label	0.37037037037037035	0.9259259259259259	0.5406316626108475	2.0
2,5,8	delta	condition_key	0.2962962962962963	0.6296296296296297	0.2771528702835195	3.0
2,5,8	delta	perturbation_label	0.4074074074074074	0.7777777777777778	0.4225423790224687	2.0
2,5,8	delta	cell_line_label	0.4444444444444444	0.9629629629629629	0.43902899960227015	2.0
2,6,7	endpoint	condition_key	0.2222222222222222	0.7037037037037037	0.34961482001355765	3.0
2,6,7	endpoint	perturbation_label	0.3333333333333333	0.7407407407407407	0.4188338082644762	3.0
2,6,7	endpoint	cell_line_label	0.7037037037037037	1.0	0.6555665822827877	1.0
2,6,7	delta	condition_key	0.37037037037037035	0.7037037037037037	0.322986322278336	2.0
2,6,7	delta	perturbation_label	0.5185185185185185	0.7777777777777778	0.5017150625705978	1.0
2,6,7	delta	cell_line_label	0.6296296296296297	1.0	0.4879848828353894	1.0
2,6,8	endpoint	condition_key	0.25925925925925924	0.5185185185185185	0.3419128094829051	5.0
2,6,8	endpoint	perturbation_label	0.3333333333333333	0.7037037037037037	0.43409030023392076	3.0
2,6,8	endpoint	cell_line_label	0.8888888888888888	0.9259259259259259	0.5940004899077743	1.0
2,6,8	delta	condition_key	0.1111111111111111	0.6666666666666666	0.23724362118245204	5.0
2,6,8	delta	perturbation_label	0.2962962962962963	0.7407407407407407	0.41381259034571294	2.0
2,6,8	delta	cell_line_label	0.37037037037037035	1.0	0.45289861839823287	2.0
2,7,8	endpoint	condition_key	0.2222222222222222	0.5925925925925926	0.33668196643274295	4.0
2,7,8	endpoint	perturbation_label	0.3333333333333333	0.7777777777777778	0.43652889638629117	3.0
2,7,8	endpoint	cell_line_label	0.7037037037037037	1.0	0.5860603676651439	1.0
2,7,8	delta	condition_key	0.25925925925925924	0.6296296296296297	0.30060788582629916	3.0
2,7,8	delta	perturbation_label	0.48148148148148145	0.7037037037037037	0.5204291074647237	2.0
2,7,8	delta	cell_line_label	0.4074074074074074	1.0	0.4456162438155928	2.0
3,4,5	endpoint	condition_key	0.2962962962962963	0.8888888888888888	0.3697380755034694	2.0
3,4,5	endpoint	perturbation_label	0.3333333333333333	1.0	0.402093532719994	2.0
3,4,5	endpoint	cell_line_label	0.9259259259259259	1.0	0.7357930804135366	1.0
3,4,5	delta	condition_key	0.4074074074074074	0.7407407407407407	0.357168578016955	2.0
3,4,5	delta	perturbation_label	0.4444444444444444	0.8148148148148148	0.45595393377749477	2.0
3,4,5	delta	cell_line_label	0.6666666666666666	1.0	0.4941156330135705	1.0
3,4,6	endpoint	condition_key	0.2962962962962963	0.8518518518518519	0.38846657506328314	2.0
3,4,6	endpoint	perturbation_label	0.2962962962962963	0.8518518518518519	0.4075935753899157	2.0
3,4,6	endpoint	cell_line_label	0.9629629629629629	1.0	0.7527309625927613	1.0
3,4,6	delta	condition_key	0.4444444444444444	0.7407407407407407	0.3595933388932796	2.0
3,4,6	delta	perturbation_label	0.5185185185185185	0.8518518518518519	0.462228748793953	1.0
3,4,6	delta	cell_line_label	0.7407407407407407	1.0	0.5114001781620258	1.0
3,4,7	endpoint	condition_key	0.3333333333333333	0.8518518518518519	0.3860779127419993	2.0
3,4,7	endpoint	perturbation_label	0.3333333333333333	0.8888888888888888	0.4162597552703436	2.0
3,4,7	endpoint	cell_line_label	0.9259259259259259	1.0	0.7155490873620484	1.0
3,4,7	delta	condition_key	0.4444444444444444	0.8888888888888888	0.3882212806619162	2.0
3,4,7	delta	perturbation_label	0.5185185185185185	0.9629629629629629	0.4772892945015416	1.0
3,4,7	delta	cell_line_label	0.8888888888888888	1.0	0.5308485324998772	1.0
3,4,8	endpoint	condition_key	0.3333333333333333	0.7777777777777778	0.3958643236543158	3.0
3,4,8	endpoint	perturbation_label	0.3333333333333333	0.8148148148148148	0.42439873087441266	3.0
3,4,8	endpoint	cell_line_label	1.0	1.0	0.7003700221699296	1.0
3,4,8	delta	condition_key	0.37037037037037035	0.7407407407407407	0.3410645827012992	2.0
3,4,8	delta	perturbation_label	0.4444444444444444	0.8148148148148148	0.46382994008372275	2.0
3,4,8	delta	cell_line_label	0.6296296296296297	1.0	0.5007953196186081	1.0
3,5,6	endpoint	condition_key	0.25925925925925924	1.0	0.3539964836261132	3.0
3,5,6	endpoint	perturbation_label	0.2962962962962963	1.0	0.39691344514859384	3.0
3,5,6	endpoint	cell_line_label	0.9629629629629629	1.0	0.7448388742613617	1.0
3,5,6	delta	condition_key	0.3333333333333333	0.7037037037037037	0.3376015751898179	3.0
3,5,6	delta	perturbation_label	0.48148148148148145	0.7407407407407407	0.4817960886389543	2.0
3,5,6	delta	cell_line_label	0.6296296296296297	1.0	0.4925461265985804	1.0
3,5,7	endpoint	condition_key	0.2222222222222222	0.8148148148148148	0.3590224824099953	2.0
3,5,7	endpoint	perturbation_label	0.2962962962962963	0.9259259259259259	0.41739545294059716	2.0
3,5,7	endpoint	cell_line_label	0.8518518518518519	1.0	0.6838053914775812	1.0
3,5,7	delta	condition_key	0.4444444444444444	0.7777777777777778	0.36099957676265243	2.0
3,5,7	delta	perturbation_label	0.5555555555555556	0.8148148148148148	0.4868799427372063	1.0
3,5,7	delta	cell_line_label	0.7777777777777778	0.9629629629629629	0.5022874145455986	1.0
3,5,8	endpoint	condition_key	0.2222222222222222	0.7407407407407407	0.3406961025811078	3.0
3,5,8	endpoint	perturbation_label	0.2962962962962963	0.8148148148148148	0.41675314945712977	2.0
3,5,8	endpoint	cell_line_label	0.7037037037037037	0.9629629629629629	0.6261635199215196	1.0
3,5,8	delta	condition_key	0.2962962962962963	0.6296296296296297	0.32110704874240414	3.0
3,5,8	delta	perturbation_label	0.4444444444444444	0.7777777777777778	0.4883563051837366	2.0
3,5,8	delta	cell_line_label	0.6666666666666666	0.8888888888888888	0.474551462636204	1.0
3,6,7	endpoint	condition_key	0.2962962962962963	0.7777777777777778	0.38621338082751816	3.0
3,6,7	endpoint	perturbation_label	0.2962962962962963	0.8518518518518519	0.42022322887091257	3.0
3,6,7	endpoint	cell_line_label	0.9629629629629629	1.0	0.7181871983323211	1.0
3,6,7	delta	condition_key	0.5555555555555556	0.8148148148148148	0.39187730064517984	1.0
