seed	benchmark	representation	baseline	status	transition_improvement	delta_cosine	condition_recall_at_1	delta_prediction_effective_rank	delta_magnitude_ratio
3	synth_program_aligned_genetic_lite	observed_rna_train_pca	program_action_only	completed	0.4189474506888501	0.7999098692478372	0.7777777777777778	1.672769721547206	0.8729197032619713
3	synth_program_aligned_genetic_lite	true_synthetic_z_bio	source_as_target	completed	0.0	0.0	0.3333333333333333	0.0	0.0
3	synth_program_aligned_genetic_lite	true_synthetic_z_bio	source_only_ridge	completed	0.030814580406714837	0.4201094374205133	0.3333333333333333	6.467795598513967	0.44553837979430216
3	synth_program_aligned_genetic_lite	true_synthetic_z_bio	source_plus_program_action	completed	0.1516911384491599	0.9684991744527162	1.0	3.4875661346611304	0.9535248501263456
3	synth_program_aligned_genetic_lite	true_synthetic_z_bio	program_action_only	completed	0.15204702545806853	0.9705231826144215	1.0	1.982045730662141	0.9508232231347393
4	synth_program_aligned_genetic_lite	celljepa_rna_z	source_as_target	completed	0.0	0.0	0.18518518518518517	0.0	0.0
4	synth_program_aligned_genetic_lite	celljepa_rna_z	source_only_ridge	completed	0.00014054937722199036	0.75763373193162	0.2222222222222222	2.759770301589164	0.6412969292160047
4	synth_program_aligned_genetic_lite	celljepa_rna_z	source_plus_program_action	completed	0.0001497250783450853	0.7121275547427383	0.4074074074074074	3.6158514899459346	0.9255811294090096
4	synth_program_aligned_genetic_lite	celljepa_rna_z	program_action_only	completed	7.705943138591742e-05	0.5317642031335333	0.2222222222222222	1.6103653448677309	1.0686619271947109
4	synth_program_aligned_genetic_lite	observed_rna_train_pca	source_as_target	completed	0.0	0.0	0.25925925925925924	0.0	0.0
4	synth_program_aligned_genetic_lite	observed_rna_train_pca	source_only_ridge	completed	0.14389281461475836	0.6318775660480479	0.3333333333333333	7.66096647757523	0.7025644612981009
4	synth_program_aligned_genetic_lite	observed_rna_train_pca	source_plus_program_action	completed	0.532106388252089	0.9109883102731352	1.0	7.248271347852461	1.0328122899609653
4	synth_program_aligned_genetic_lite	observed_rna_train_pca	program_action_only	completed	0.48506078748065623	0.8211875801501644	1.0	1.7866093572924782	0.9415247469058746
4	synth_program_aligned_genetic_lite	true_synthetic_z_bio	source_as_target	completed	0.0	0.0	0.3333333333333333	0.0	0.0
4	synth_program_aligned_genetic_lite	true_synthetic_z_bio	source_only_ridge	completed	0.03237664368308665	0.45059427279130915	0.3333333333333333	6.698819780530277	0.5271411409559694
4	synth_program_aligned_genetic_lite	true_synthetic_z_bio	source_plus_program_action	completed	0.1344517312212519	0.9600088082104022	1.0	3.5407029990429244	0.9767685428334636
4	synth_program_aligned_genetic_lite	true_synthetic_z_bio	program_action_only	completed	0.1344835110135609	0.9607629625899174	1.0	1.9537013720740213	0.972860143398156
