policy	benchmark	seed	representation	eval_cell_image_latent_cosine	real_transition	real_delta_cosine	real_recall_at_1	real_delta_rank	real_magnitude_ratio	eval_effective_rank_z	train_perturbation_probe_cv	train_batch_probe_cv	inner_mean_transition	inner_min_transition	inner_mean_delta_cosine	inner_min_delta_cosine	inner_mean_recall_at_1	inner_min_recall_at_1	inner_fold_count	transition_optimism	delta_optimism	recall_optimism	abs_transition_optimism	abs_delta_optimism
random_perturbation	synth_program_aligned_random_holdout_lite	34	observed_rna_train_pca	0.04795208959528897	0.44094243327744587	0.9304301484033725	0.8148148148148148	7.111705605318644	0.9678487378583097	9.183243746519496	0.25	0.3472222222222222	0.2092037784442137	-0.07501994658836268	0.7195455802570233	0.03303515731866259	1.0	1.0	8.0	-0.23173865483323217	-0.21088456814634915	0.18518518518518523	0.23173865483323217	0.21088456814634915
random_perturbation	synth_program_aligned_random_holdout_lite	34	image_train_pca	1.0	0.26185512544427864	0.9558918521341698	1.0	4.087840456478982	0.9807654414248727	7.495024751013125	0.4305555555555556	0.4305555555555556	0.25179740128349176	-0.21469595167746067	0.8318294044580534	-0.09470021365501917	1.0	1.0	8.0	-0.010057724160786874	-0.1240624476761164	0.0	0.010057724160786874	0.1240624476761164
random_perturbation	synth_program_aligned_random_holdout_lite	34	rna_relational_student_embedding	-0.056546130873980145	0.2214231569353368	0.9352841086466744	0.8888888888888888	5.0327379590042405	1.0220111592474497	6.484896913378122	0.2361111111111111	0.2638888888888889	0.1418479556266085	-0.12394137285582424	0.8167660395385433	-0.05099329276839742	1.0	1.0	8.0	-0.07957520130872828	-0.11851806910813112	0.11111111111111116	0.07957520130872828	0.11851806910813112
random_perturbation	synth_program_aligned_random_holdout_lite	34	rna_relational_predicted_image_latent	0.7345210340148653	0.16103425736594243	0.9071294665212796	0.6666666666666666	4.48412052768574	0.9902372954978305	5.471694762129453	0.20833333333333334	0.2777777777777778	0.11337975882818296	-0.05658499426682906	0.8527305492284303	0.16404695621587329	1.0	1.0	8.0	-0.047654498537759465	-0.05439891729284929	0.33333333333333337	0.047654498537759465	0.05439891729284929
random_perturbation	synth_program_aligned_random_holdout_lite	35	observed_rna_train_pca	-0.17977364928041387	0.48161649063700857	0.9484582090250627	0.8888888888888888	6.793838838382618	0.9973128210010748	7.602779962640421	0.1527777777777778	0.19444444444444445	0.39583950755735664	-0.060712406971692494	0.8738241115768848	0.5045354949081239	0.7916666666666666	0.6666666666666666	8.0	-0.08577698307965193	-0.07463409744817795	-0.09722222222222221	0.08577698307965193	0.07463409744817795
random_perturbation	synth_program_aligned_random_holdout_lite	35	image_train_pca	1.0	0.16430167258885695	0.9607905312355066	1.0	4.010078522253804	0.9917283977881325	6.332000279628842	0.4305555555555556	0.20833333333333334	0.1541240678381237	-0.039895129785165594	0.8549017977916276	0.06202488185617611	1.0	1.0	8.0	-0.010177604750733232	-0.10588873344387906	0.0	0.010177604750733232	0.10588873344387906
random_perturbation	synth_program_aligned_random_holdout_lite	35	rna_relational_student_embedding	0.007564203912945889	0.1227036688121953	0.8688260923455173	0.7777777777777778	6.222571318440092	0.90126640845786	6.317843721063851	0.16666666666666666	0.2777777777777778	0.2176064314866606	-0.04796940870827666	0.8732179540400304	0.625369931936533	1.0	1.0	8.0	0.09490276267446529	0.004391861694513111	0.2222222222222222	0.09490276267446529	0.004391861694513111
random_perturbation	synth_program_aligned_random_holdout_lite	35	rna_relational_predicted_image_latent	0.6037322656586434	0.09591580641351402	0.6833770035144999	0.5555555555555556	5.18800518518611	0.9162613419860982	5.949059359635251	0.1527777777777778	0.3194444444444444	0.2084271830982354	0.01398616460191562	0.7663228230904664	0.4631385143670859	1.0	1.0	8.0	0.11251137668472139	0.08294581957596647	0.4444444444444444	0.11251137668472139	0.08294581957596647
random_perturbation	synth_program_aligned_random_holdout_lite	36	observed_rna_train_pca	0.4262046881626064	0.20546449876162742	0.899092091668573	0.8888888888888888	8.313355626373696	1.0569945809142065	6.641833487225086	0.1527777777777778	0.25	0.1649070139501681	0.08965648675391838	0.7790470283200339	0.5816785640542999	1.0	1.0	8.0	-0.04055748481145932	-0.12004506334853904	0.11111111111111116	0.04055748481145932	0.12004506334853904
random_perturbation	synth_program_aligned_random_holdout_lite	36	image_train_pca	1.0	0.21453850716457248	0.9622609597826915	1.0	4.037737010345991	0.9840922684481	6.988893152734907	0.4583333333333333	0.2361111111111111	0.2158152563920904	-0.12154139296553702	0.8135736590117044	-0.2023266930487194	1.0	1.0	8.0	0.0012767492275179149	-0.14868730077098713	0.0	0.0012767492275179149	0.14868730077098713
