metric,value
rna_counterfactual_by_group=BRD-A08545410|10.0|24.0|A549_top100_de_overlap,0.51
rna_counterfactual_by_group=BRD-A09349126|10.0|24.0|A549_pseudobulk_correlation,0.7258551054864685
rna_counterfactual_by_group=BRD-A09349126|10.0|24.0|A549_logfc_correlation,0.7177971922727373
rna_counterfactual_by_group=BRD-A09349126|10.0|24.0|A549_direction_accuracy,0.8026584867075665
rna_counterfactual_by_group=BRD-A09349126|10.0|24.0|A549_top20_de_overlap,0.35
rna_counterfactual_by_group=BRD-A09349126|10.0|24.0|A549_top50_de_overlap,0.36
rna_counterfactual_by_group=BRD-A09349126|10.0|24.0|A549_top100_de_overlap,0.46
rna_counterfactual_by_group=BRD-A09472452|10.0|24.0|A549_pseudobulk_correlation,0.6976203713602801
rna_counterfactual_by_group=BRD-A09472452|10.0|24.0|A549_logfc_correlation,0.6934462100600358
rna_counterfactual_by_group=BRD-A09472452|10.0|24.0|A549_direction_accuracy,0.8118609406952966
rna_counterfactual_by_group=BRD-A09472452|10.0|24.0|A549_top20_de_overlap,0.15
rna_counterfactual_by_group=BRD-A09472452|10.0|24.0|A549_top50_de_overlap,0.28
rna_counterfactual_by_group=BRD-A09472452|10.0|24.0|A549_top100_de_overlap,0.42
rna_counterfactual_by_group=BRD-A09533288|10.0|24.0|A549_pseudobulk_correlation,0.7098150473626147
rna_counterfactual_by_group=BRD-A09533288|10.0|24.0|A549_logfc_correlation,0.7125340725756064
rna_counterfactual_by_group=BRD-A09533288|10.0|24.0|A549_direction_accuracy,0.8057259713701431
rna_counterfactual_by_group=BRD-A09533288|10.0|24.0|A549_top20_de_overlap,0.2
rna_counterfactual_by_group=BRD-A09533288|10.0|24.0|A549_top50_de_overlap,0.36
rna_counterfactual_by_group=BRD-A09533288|10.0|24.0|A549_top100_de_overlap,0.42
rna_counterfactual_by_group=BRD-A10012892|10.0|24.0|A549_pseudobulk_correlation,0.7312916330887744
rna_counterfactual_by_group=BRD-A10012892|10.0|24.0|A549_logfc_correlation,0.7006361154765962
rna_counterfactual_by_group=BRD-A10012892|10.0|24.0|A549_direction_accuracy,0.8128834355828221
rna_counterfactual_by_group=BRD-A10012892|10.0|24.0|A549_top20_de_overlap,0.05
rna_counterfactual_by_group=BRD-A10012892|10.0|24.0|A549_top50_de_overlap,0.14
rna_counterfactual_by_group=BRD-A10012892|10.0|24.0|A549_top100_de_overlap,0.41
rna_counterfactual_by_group=BRD-A10039652|10.0|24.0|A549_pseudobulk_correlation,0.6695666254241666
rna_counterfactual_by_group=BRD-A10039652|10.0|24.0|A549_logfc_correlation,0.6385998130767058
rna_counterfactual_by_group=BRD-A10039652|10.0|24.0|A549_direction_accuracy,0.7566462167689162
rna_counterfactual_by_group=BRD-A10039652|10.0|24.0|A549_top20_de_overlap,0.15
rna_counterfactual_by_group=BRD-A10039652|10.0|24.0|A549_top50_de_overlap,0.28
rna_counterfactual_by_group=BRD-A10039652|10.0|24.0|A549_top100_de_overlap,0.41
rna_counterfactual_by_group=BRD-A10070317|10.0|24.0|A549_pseudobulk_correlation,0.7312383588127588
rna_counterfactual_by_group=BRD-A10070317|10.0|24.0|A549_logfc_correlation,0.7388126445830772
rna_counterfactual_by_group=BRD-A10070317|10.0|24.0|A549_direction_accuracy,0.8016359918200409
rna_counterfactual_by_group=BRD-A10070317|10.0|24.0|A549_top20_de_overlap,0.25
rna_counterfactual_by_group=BRD-A10070317|10.0|24.0|A549_top50_de_overlap,0.4
rna_counterfactual_by_group=BRD-A10070317|10.0|24.0|A549_top100_de_overlap,0.51
rna_counterfactual_by_group=BRD-A10903566|10.0|24.0|A549_pseudobulk_correlation,0.6747845016900037
rna_counterfactual_by_group=BRD-A10903566|10.0|24.0|A549_logfc_correlation,0.6763404378994212
rna_counterfactual_by_group=BRD-A10903566|10.0|24.0|A549_direction_accuracy,0.7556237218813906
rna_counterfactual_by_group=BRD-A10903566|10.0|24.0|A549_top20_de_overlap,0.35
rna_counterfactual_by_group=BRD-A10903566|10.0|24.0|A549_top50_de_overlap,0.22
rna_counterfactual_by_group=BRD-A10903566|10.0|24.0|A549_top100_de_overlap,0.46
rna_counterfactual_by_group=BRD-A10967948|10.0|24.0|A549_pseudobulk_correlation,0.7041619218704627
rna_counterfactual_by_group=BRD-A10967948|10.0|24.0|A549_logfc_correlation,0.6943684734680922
rna_counterfactual_by_group=BRD-A10967948|10.0|24.0|A549_direction_accuracy,0.8098159509202454
rna_counterfactual_by_group=BRD-A10967948|10.0|24.0|A549_top20_de_overlap,0.05
rna_counterfactual_by_group=BRD-A10967948|10.0|24.0|A549_top50_de_overlap,0.3
rna_counterfactual_by_group=BRD-A10967948|10.0|24.0|A549_top100_de_overlap,0.45
rna_counterfactual_by_group=BRD-A10977446|10.0|24.0|A549_pseudobulk_correlation,0.7768441889298799
rna_counterfactual_by_group=BRD-A10977446|10.0|24.0|A549_logfc_correlation,0.7867187936406078
rna_counterfactual_by_group=BRD-A10977446|10.0|24.0|A549_direction_accuracy,0.8057259713701431
rna_counterfactual_by_group=BRD-A10977446|10.0|24.0|A549_top20_de_overlap,0.55
rna_counterfactual_by_group=BRD-A10977446|10.0|24.0|A549_top50_de_overlap,0.46
rna_counterfactual_by_group=BRD-A10977446|10.0|24.0|A549_top100_de_overlap,0.55
