baseline,group,n_samples,pearson_delta,spearman_delta,delta_mae,delta_mse,top50_jaccard_delta,top50_de_recovery,perturbation_split,perturbation
control_mean,overall,277,0.0,0.0,0.9030647210755056,2.0024347081671645,0.0,0.07530685920577618,,
control_mean,held_out|BRD-K32977963,1,0.0,0.0,0.6052275609119038,0.6329977812653473,0.05263157894736842,0.06,held_out,BRD-K32977963
control_mean,held_out|BRD-K33852358,1,0.0,0.0,0.6841415153255992,1.1138557109184941,0.041666666666666664,0.1,held_out,BRD-K33852358
control_mean,held_out|BRD-K33882852,1,0.0,0.0,1.1111575153451192,2.437936114222166,0.030927835051546393,0.08,held_out,BRD-K33882852
control_mean,held_out|BRD-K35169477,1,0.0,0.0,0.6256884525538347,0.7111488696566393,0.05263157894736842,0.08,held_out,BRD-K35169477
control_mean,held_out|BRD-K35589454,1,0.0,0.0,0.5901806346745716,0.8396743158890935,0.010101010101010102,0.14,held_out,BRD-K35589454
control_mean,held_out|BRD-K36280065,1,0.0,0.0,0.9076813122972295,1.5588332278148092,0.030927835051546393,0.08,held_out,BRD-K36280065
control_mean,held_out|BRD-K37590257,1,0.0,0.0,0.8162317540018451,1.2022611383164739,0.030927835051546393,0.06,held_out,BRD-K37590257
control_mean,held_out|BRD-K37687095,1,0.0,0.0,1.34691283761283,3.4753176853831325,0.010101010101010102,0.02,held_out,BRD-K37687095
control_mean,held_out|BRD-K37714784,1,0.0,0.0,0.6126062089043969,0.9496305601233785,0.08695652173913043,0.16,held_out,BRD-K37714784
control_mean,held_out|BRD-K37764012,1,0.0,0.0,1.6906635683049176,5.3046285789549295,0.05263157894736842,0.1,held_out,BRD-K37764012
control_mean,held_out|BRD-K38473998,1,0.0,0.0,0.5869585751493502,0.6297850164865674,0.030927835051546393,0.1,held_out,BRD-K38473998
control_mean,held_out|BRD-K39339537,1,0.0,0.0,0.6887504284913037,0.8920762013984648,0.02040816326530612,0.04,held_out,BRD-K39339537
control_mean,held_out|BRD-K41260949,1,0.0,0.0,0.5747415492954054,0.7264185264246741,0.010101010101010102,0.0,held_out,BRD-K41260949
control_mean,held_out|BRD-K41410256,1,0.0,0.0,0.6319976730991859,0.7986934413240451,0.07526881720430108,0.14,held_out,BRD-K41410256
control_mean,held_out|BRD-K41996876,1,0.0,0.0,0.6366045450637244,0.939437424305172,0.08695652173913043,0.12,held_out,BRD-K41996876
control_mean,held_out|BRD-K42352790,1,0.0,0.0,0.5822730493181678,0.6868433713313341,0.030927835051546393,0.08,held_out,BRD-K42352790
