seed	selected_inner_cone_mix	scale	threshold	safe	active_fraction	unsafe_count_at_full_scale	transition_improvement	delta_cosine	recall_at_1	gap_transition	gap_delta_cosine	gap_recall	broken_count	near_tie_erosions	near_tie_flips
34	0.0	0.0125	1e-06	False	1.0	19	0.6280329375576896	0.9565310082665496	0.5	0.000660224643390217	0.0007662041272643583	0.0	0.0	16.0	0.0
34	0.0	0.025	-2.1445659423875885	True	0.0	27	0.6273727129142994	0.9557648041392852	0.5	0.0	0.0	0.0	0.0	0.0	0.0
34	0.0	0.025	-2.1445649423875883	True	0.027777777777777776	27	0.6273836916265227	0.9557998422898165	0.5	1.0978712223330689e-05	3.5038150531296886e-05	0.0	0.0	0.0	0.0
34	0.0	0.025	-2.002793733056692	True	0.05555555555555555	27	0.6274338019820451	0.9558536427944256	0.5	6.10890677457121e-05	8.883865514042188e-05	0.0	0.0	0.0	0.0
34	0.0	0.025	-1.716192734488991	True	0.1111111111111111	27	0.6275214641919642	0.9560458981799395	0.5	0.00014875127766478258	0.0002810940406542395	0.0	0.0	0.0	0.0
34	0.0	0.025	-1.2357779105779667	True	0.16666666666666666	27	0.6275530811805138	0.9560878693180838	0.5	0.0001803682662143702	0.0003230651787985428	0.0	0.0	0.0	0.0
34	0.0	0.025	-1.104474754522311	True	0.2222222222222222	27	0.6276524895095835	0.9561544849948823	0.5	0.00027977659528410914	0.00038968085559709653	0.0	0.0	0.0	0.0
34	0.0	0.025	-0.20982676858747779	True	0.25	27	0.6276780468691822	0.956188631538521	0.5	0.00030533395488274717	0.0004238273992357433	0.0	0.0	0.0	0.0
34	0.0	0.025	-0.0	False	1.0	27	0.6286835062185356	0.9572879379892095	0.5	0.001310793304236224	0.0015231338499243074	0.0	0.0	22.0	0.0
34	0.0	0.025	1e-06	False	1.0	27	0.6286835062185356	0.9572879379892095	0.5	0.001310793304236224	0.0015231338499243074	0.0	0.0	22.0	0.0
34	0.0	0.05	-2.1445659423875885	True	0.0	29	0.6273727129142994	0.9557648041392852	0.5	0.0	0.0	0.0	0.0	0.0	0.0
34	0.0	0.05	-2.1445649423875883	True	0.027777777777777776	29	0.627394503437093	0.9558343833381566	0.5	2.1790522793607714e-05	6.957919887140562e-05	0.0	0.0	0.0	0.0
34	0.0	0.05	-1.4892867115254889	True	0.05555555555555555	29	0.6274674986259122	0.9560141930915916	0.5	9.478571161281035e-05	0.00024938895230641744	0.0	0.0	0.0	0.0
34	0.0	0.05	-1.2340172386770845	True	0.1111111111111111	29	0.6275295931251004	0.9560970165774972	0.5	0.00015688021080095815	0.0003322124382120206	0.0	0.0	0.0	0.0
34	0.0	0.05	-1.104474754522311	True	0.16666666666666666	29	0.6277245655815079	0.9562281678965798	0.5	0.0003518526672084965	0.0004633637572946103	0.0	0.0	0.0	0.0
34	0.0	0.05	0.0	False	1.0	29	0.6299557798038564	0.9587739038914178	0.5	0.0025830668895570064	0.0030090997521325935	0.0	0.0	23.0	0.0
34	0.0	0.05	1e-06	False	1.0	29	0.6299557798038564	0.9587739038914178	0.5	0.0025830668895570064	0.0030090997521325935	0.0	0.0	23.0	0.0
35	0.0	0.0	1000000000.0	True	0.0	0	0.6422852873858286	0.9320126419208563	0.5	0.0	0.0	0.0	0.0	0.0	0.0
35	0.0	0.005	-4.556066929293168	True	0.0	8	0.6422852873858286	0.9320126419208563	0.5	0.0	0.0	0.0	0.0	0.0	0.0
35	0.0	0.005	-4.556065929293168	True	0.027777777777777776	8	0.6422869516775782	0.9320184338045725	0.5	1.6642917496367815e-06	5.791883716188551e-06	0.0	0.0	0.0	0.0
35	0.0	0.005	-4.254846035318077	True	0.05555555555555555	8	0.6422893559635373	0.9320224223023911	0.5	4.068577708737919e-06	9.780381534763016e-06	0.0	0.0	0.0	0.0
35	0.0	0.005	-4.181776937004146	True	0.1111111111111111	8	0.6422927888891254	0.9320271672316292	0.5	7.501503296869494e-06	1.4525310772839362e-05	0.0	0.0	0.0	0.0
35	0.0	0.005	-3.9508966265740537	True	0.16666666666666666	8	0.6422971856140095	0.9320377219077199	0.5	1.1898228180928783e-05	2.5079986863629777e-05	0.0	0.0	0.0	0.0
35	0.0	0.005	-3.5390024118619956	True	0.2222222222222222	8	0.6423016866361856	0.9320525152443104	0.5	1.6399250357013173e-05	3.9873323454120424e-05	0.0	0.0	0.0	0.0
35	0.0	0.005	-3.3691704179532516	True	0.25	8	0.642303860845702	0.9320563371526861	0.5	1.8573459873438836e-05	4.369523182978785e-05	0.0	0.0	0.0	0.0
