aggregator	mode	split	stage	rows	dims	min_std	mean_std	rank	effective_rank	mean_norm	pairwise_cosine_mean	pairwise_cosine_std	collapse_flag	bio_latent_r2_from_train
attention	eval	test	image_shared	32	32	0.004709863943335591	0.012776075533132657	16	5.95537134813595	5.716783080991243	0.9998005758406114	0.00016845708133940922	True	0.8875411353339439
attention	train_no_grad	train	rna_raw_cls	32	32	0.060336008882333717	0.11720607454134119	31	23.640538371050837	5.415007468194258	0.9835800347498512	0.005100831111236597	False	0.9883295915169898
attention	train_no_grad	train	image_raw_cls	32	32	0.02862493656300264	0.08074119875537339	31	21.554970799490007	5.617765482388626	0.9917758342511236	0.0032432485090564066	False	0.956955440113808
attention	train_no_grad	train	rna_token_mean	32	32	0.008710951885339718	0.03220782454839355	30	9.884431865474653	2.3805192810739007	0.9959837308626639	0.004269675464430014	True	0.8507685692411375
attention	train_no_grad	train	image_patch_mean	32	32	0.012690489921134055	0.02866388153959082	30	19.733629178280488	5.561959426313305	0.9990089447488942	0.000456462273605143	False	0.9746305315070576
attention	train_no_grad	train	rna_projection_pre_norm	32	32	0.05048931474795139	0.06704006154812361	30	16.003291464777245	4.338525323479351	0.9927141035695796	0.003341691435304931	False	0.819432138519256
attention	train_no_grad	train	image_projection_pre_norm	32	32	0.05072770039019267	0.08220924123176387	30	14.233786172645793	3.4625769520144623	0.9806138878744891	0.010900421913348628	False	0.7392045922265111
attention	train_no_grad	train	rna_projection_norm_instance_mean	32	32	0.009964357297321974	0.014612892713116384	28	16.20630203554127	0.9719972210700145	0.9923406071974554	0.003633531680255682	True	0.6326496392094039
attention	train_no_grad	train	image_projection_norm_instance_mean	32	32	0.01368330815462738	0.02204866523937491	28	14.290510859179054	0.9368069387929625	0.9808409274691029	0.0107667135122066	False	0.577162138809857
attention	train_no_grad	train	rna_shared	32	32	0.020841326427466694	0.050405586500445285	28	14.012424011667802	5.690888336388807	0.9972438562211308	0.0013930157565954112	False	0.7140523155556375
attention	train_no_grad	train	image_shared	32	32	0.043652102839746555	0.08091425763751708	29	13.100044751346122	5.716777611268201	0.992852168053488	0.00442305429699615	False	0.707824647971274
