dataset	seed	eval_split	reference	state	status	n	dim	batch_probe_balanced_accuracy	batch_probe_majority_accuracy	batch_probe_resub_balanced_accuracy	effective_rank	std_mean	checkpoint
synth_dose_extrapolation_lite	0	test_heldout_dose	zero_step_bioaction_encoder	transition_predicted_latent	ok	198.0	32.0	0.9696969696969697	0.3333333333333333	1.0	12.860717742006676	0.13396084308624268	
synth_dose_extrapolation_lite	0	test_heldout_dose	zero_step_bioaction_encoder	rna_ema_teacher_target	ok	198.0	32.0	0.4090909090909091	0.3333333333333333	0.6414141414141414	25.08203625590519	0.19253216683864594	
synth_dose_extrapolation_lite	0	test_heldout_dose	zero_step_bioaction_encoder	image_ema_teacher_target	ok	198.0	32.0	0.4898989898989899	0.3333333333333333	0.7828282828282829	15.261821471725893	0.19808438420295715	
synth_dose_extrapolation_lite	0	test_heldout_dose	zero_step_bioaction_encoder	joint_ema_teacher_target	ok	198.0	32.0	0.398989898989899	0.3333333333333333	0.6515151515151515	22.341699438272112	0.14881235361099243	
synth_dose_extrapolation_lite	0	test_heldout_dose	zero_step_bioaction_encoder	transition_joint_ema_teacher_target	ok	198.0	32.0	0.398989898989899	0.3333333333333333	0.6515151515151515	22.341699438272112	0.14881235361099243	
synth_dose_extrapolation_lite	0	test_heldout_dose	EXP002_familyA_heldout_dose	rna_online_z_shared	ok	198.0	32.0	0.9595959595959597	0.3333333333333333	1.0	13.206545660425599	0.17437809705734253	
synth_dose_extrapolation_lite	0	test_heldout_dose	EXP002_familyA_heldout_dose	image_online_z_shared	ok	198.0	32.0	1.0	0.3333333333333333	1.0	4.9874132344418864	0.14142121374607086	
synth_dose_extrapolation_lite	0	test_heldout_dose	EXP002_familyA_heldout_dose	joint_online_z_shared	ok	198.0	32.0	0.9242424242424243	0.3333333333333333	1.0	10.865148915349819	0.13340218365192413	
synth_dose_extrapolation_lite	0	test_heldout_dose	EXP002_familyA_heldout_dose	transition_predicted_latent	ok	198.0	32.0	0.9191919191919192	0.3333333333333333	0.9696969696969697	11.90185282234902	0.13332001864910126	
synth_dose_extrapolation_lite	0	test_heldout_dose	EXP002_familyA_heldout_dose	rna_ema_teacher_target	ok	198.0	32.0	0.40404040404040403	0.3333333333333333	0.6464646464646465	25.239532151837622	0.18997350335121155	
synth_dose_extrapolation_lite	0	test_heldout_dose	EXP002_familyA_heldout_dose	image_ema_teacher_target	ok	198.0	32.0	0.47979797979797983	0.3333333333333333	0.787878787878788	15.428666960320259	0.19416940212249756	
synth_dose_extrapolation_lite	0	test_heldout_dose	EXP002_familyA_heldout_dose	joint_ema_teacher_target	ok	198.0	32.0	0.40404040404040403	0.3333333333333333	0.6515151515151515	22.358171918135213	0.14850714802742004	
synth_dose_extrapolation_lite	0	test_heldout_dose	EXP002_familyA_heldout_dose	transition_joint_ema_teacher_target	ok	198.0	32.0	0.40404040404040403	0.3333333333333333	0.6515151515151515	22.358171918135213	0.14850714802742004	
synth_dose_extrapolation_lite	1	test_heldout_dose	zero_step_bioaction_encoder	rna_online_z_shared	ok	198.0	32.0	1.0	0.3333333333333333	1.0	13.021479597145206	0.18803586065769196	
synth_dose_extrapolation_lite	1	test_heldout_dose	zero_step_bioaction_encoder	image_online_z_shared	ok	198.0	32.0	1.0	0.3333333333333333	1.0	4.575124462456412	0.1677129715681076	
synth_dose_extrapolation_lite	1	test_heldout_dose	zero_step_bioaction_encoder	joint_online_z_shared	ok	198.0	32.0	1.0	0.3333333333333333	1.0	11.670107289146856	0.12193170934915543	
synth_dose_extrapolation_lite	1	test_heldout_dose	zero_step_bioaction_encoder	transition_predicted_latent	ok	198.0	32.0	1.0	0.3333333333333333	1.0	13.50834237225367	0.12029291689395905	
synth_dose_extrapolation_lite	1	test_heldout_dose	zero_step_bioaction_encoder	rna_ema_teacher_target	ok	198.0	32.0	0.39393939393939387	0.3333333333333333	0.5858585858585857	24.561581617246148	0.21533656120300293	
synth_dose_extrapolation_lite	1	test_heldout_dose	zero_step_bioaction_encoder	image_ema_teacher_target	ok	198.0	32.0	0.5757575757575758	0.3333333333333333	0.797979797979798	15.530395958571273	0.20582863688468933	
synth_dose_extrapolation_lite	1	test_heldout_dose	zero_step_bioaction_encoder	joint_ema_teacher_target	ok	198.0	32.0	0.393939393939394	0.3333333333333333	0.5808080808080808	22.88305503512397	0.14820051193237305	
synth_dose_extrapolation_lite	1	test_heldout_dose	zero_step_bioaction_encoder	transition_joint_ema_teacher_target	ok	198.0	32.0	0.393939393939394	0.3333333333333333	0.5808080808080808	22.88305503512397	0.14820051193237305	
synth_dose_extrapolation_lite	1	test_heldout_dose	EXP002_familyA_heldout_dose	checkpoint	checkpoint_available_for_seed0_only								outputs/autoresearch_bioaction_jepa_v1/experiments/EXP002_familyA_minimal_heldout_dose_seed0_s32_cuda/checkpoint.pt
synth_dose_extrapolation_lite	2	test_heldout_dose	zero_step_bioaction_encoder	rna_online_z_shared	ok	198.0	32.0	0.9595959595959597	0.3333333333333333	1.0	13.181651171402956	0.15791571140289307	
synth_dose_extrapolation_lite	2	test_heldout_dose	zero_step_bioaction_encoder	image_online_z_shared	ok	198.0	32.0	0.7777777777777778	0.3333333333333333	1.0	4.228199372048074	0.16069456934928894	
synth_dose_extrapolation_lite	2	test_heldout_dose	zero_step_bioaction_encoder	joint_online_z_shared	ok	198.0	32.0	0.888888888888889	0.3333333333333333	0.9444444444444445	11.264254809297148	0.10917426645755768	
synth_dose_extrapolation_lite	2	test_heldout_dose	zero_step_bioaction_encoder	transition_predicted_latent	ok	198.0	32.0	0.8787878787878788	0.3333333333333333	0.9444444444444445	13.270623451812524	0.10932016372680664	
synth_dose_extrapolation_lite	2	test_heldout_dose	zero_step_bioaction_encoder	rna_ema_teacher_target	ok	198.0	32.0	0.3888888888888889	0.3333333333333333	0.6515151515151515	24.442137202223417	0.1872909814119339	
synth_dose_extrapolation_lite	2	test_heldout_dose	zero_step_bioaction_encoder	image_ema_teacher_target	ok	198.0	32.0	0.4545454545454546	0.3333333333333333	0.7171717171717171	15.314339199975082	0.20103351771831512	
synth_dose_extrapolation_lite	2	test_heldout_dose	zero_step_bioaction_encoder	joint_ema_teacher_target	ok	198.0	32.0	0.3333333333333333	0.3333333333333333	0.5858585858585859	22.868143672573012	0.1354113221168518	
synth_dose_extrapolation_lite	2	test_heldout_dose	zero_step_bioaction_encoder	transition_joint_ema_teacher_target	ok	198.0	32.0	0.3333333333333333	0.3333333333333333	0.5858585858585859	22.868143672573012	0.1354113221168518	
synth_dose_extrapolation_lite	2	test_heldout_dose	EXP002_familyA_heldout_dose	checkpoint	checkpoint_available_for_seed0_only								outputs/autoresearch_bioaction_jepa_v1/experiments/EXP002_familyA_minimal_heldout_dose_seed0_s32_cuda/checkpoint.pt
synth_batch_confound_lite	0	test	zero_step_bioaction_encoder	rna_online_z_shared	ok	99.0	32.0	0.9043209876543209	0.36363636363636365	0.9814814814814815	24.795938765165346	0.22471818327903748	
synth_batch_confound_lite	0	test	zero_step_bioaction_encoder	image_online_z_shared	ok	99.0	32.0	0.9783950617283951	0.36363636363636365	1.0	9.043411153939264	0.17140954732894897	
synth_batch_confound_lite	0	test	zero_step_bioaction_encoder	joint_online_z_shared	ok	99.0	32.0	0.8209876543209876	0.36363636363636365	0.9166666666666666	21.715133162361237	0.14656949043273926	
synth_batch_confound_lite	0	test	zero_step_bioaction_encoder	transition_predicted_latent	ok	99.0	32.0	0.8302469135802469	0.36363636363636365	0.9259259259259259	21.91979638731302	0.14643235504627228	
synth_batch_confound_lite	0	test	zero_step_bioaction_encoder	rna_ema_teacher_target	ok	99.0	32.0	0.44753086419753085	0.36363636363636365	0.7283950617283951	29.470950857370752	0.22096019983291626	
synth_batch_confound_lite	0	test	zero_step_bioaction_encoder	image_ema_teacher_target	ok	99.0	32.0	0.7191358024691358	0.36363636363636365	0.8209876543209876	16.466761855931498	0.19008730351924896	
synth_batch_confound_lite	0	test	zero_step_bioaction_encoder	joint_ema_teacher_target	ok	99.0	32.0	0.5956790123456789	0.36363636363636365	0.7654320987654321	26.774143285131117	0.15442144870758057	
synth_batch_confound_lite	0	test	zero_step_bioaction_encoder	transition_joint_ema_teacher_target	ok	99.0	32.0	0.5956790123456789	0.36363636363636365	0.7654320987654321	26.774143285131117	0.15442144870758057	
synth_batch_confound_lite	1	test	zero_step_bioaction_encoder	rna_online_z_shared	ok	99.0	32.0	0.8395061728395062	0.36363636363636365	0.9814814814814815	24.007710482964605	0.2209181785583496	
synth_batch_confound_lite	1	test	zero_step_bioaction_encoder	image_online_z_shared	ok	99.0	32.0	0.6635802469135802	0.36363636363636365	0.95679012345679	9.918092392991657	0.17123442888259888	
synth_batch_confound_lite	1	test	zero_step_bioaction_encoder	joint_online_z_shared	ok	99.0	32.0	0.8333333333333334	0.36363636363636365	0.9444444444444443	21.63188614208888	0.14032305777072906	
synth_batch_confound_lite	1	test	zero_step_bioaction_encoder	transition_predicted_latent	ok	99.0	32.0	0.8456790123456789	0.36363636363636365	0.9444444444444443	21.88235189329586	0.1387176215648651	
synth_batch_confound_lite	1	test	zero_step_bioaction_encoder	rna_ema_teacher_target	ok	99.0	32.0	0.4259259259259259	0.36363636363636365	0.75	29.119022333241915	0.2245917171239853	
synth_batch_confound_lite	1	test	zero_step_bioaction_encoder	image_ema_teacher_target	ok	99.0	32.0	0.6296296296296297	0.36363636363636365	0.8240740740740741	16.76253434008727	0.19666866958141327	
synth_batch_confound_lite	1	test	zero_step_bioaction_encoder	joint_ema_teacher_target	ok	99.0	32.0	0.5030864197530863	0.36363636363636365	0.7160493827160493	26.814999949877688	0.15194830298423767	
synth_batch_confound_lite	1	test	zero_step_bioaction_encoder	transition_joint_ema_teacher_target	ok	99.0	32.0	0.5030864197530863	0.36363636363636365	0.7160493827160493	26.814999949877688	0.15194830298423767	
synth_batch_confound_lite	2	test	zero_step_bioaction_encoder	rna_online_z_shared	ok	99.0	32.0	0.8703703703703703	0.36363636363636365	0.9814814814814815	24.062575415684528	0.19920215010643005	
synth_batch_confound_lite	2	test	zero_step_bioaction_encoder	image_online_z_shared	ok	99.0	32.0	0.6512345679012346	0.36363636363636365	0.9351851851851851	8.824222507990175	0.16229404509067535	
synth_batch_confound_lite	2	test	zero_step_bioaction_encoder	joint_online_z_shared	ok	99.0	32.0	0.7777777777777778	0.36363636363636365	0.9907407407407408	21.427063228567746	0.12782622873783112	
synth_batch_confound_lite	2	test	zero_step_bioaction_encoder	transition_predicted_latent	ok	99.0	32.0	0.7592592592592592	0.36363636363636365	0.9907407407407408	21.563770530819415	0.12764416635036469	
synth_batch_confound_lite	2	test	zero_step_bioaction_encoder	rna_ema_teacher_target	ok	99.0	32.0	0.46296296296296297	0.36363636363636365	0.6944444444444445	28.697287667882975	0.20826616883277893	
synth_batch_confound_lite	2	test	zero_step_bioaction_encoder	image_ema_teacher_target	ok	99.0	32.0	0.75	0.36363636363636365	0.8456790123456791	16.436897840374783	0.18849249184131622	
synth_batch_confound_lite	2	test	zero_step_bioaction_encoder	joint_ema_teacher_target	ok	99.0	32.0	0.5740740740740741	0.36363636363636365	0.8055555555555555	26.68982817555712	0.1403782218694687	
synth_batch_confound_lite	2	test	zero_step_bioaction_encoder	transition_joint_ema_teacher_target	ok	99.0	32.0	0.5740740740740741	0.36363636363636365	0.8055555555555555	26.68982817555712	0.1403782218694687	
