policy	benchmark	seed	representation	representation_class	eval_cell_zbio_cosine	real_transition	real_delta_cosine	real_recall_at_1	real_delta_rank	real_magnitude_ratio	eval_effective_rank_z	train_perturbation_probe_cv	train_batch_probe_cv	inner_mean_transition	inner_min_transition	inner_mean_delta_cosine	inner_min_delta_cosine	inner_mean_recall_at_1	inner_min_recall_at_1	inner_fold_count	transition_optimism	delta_optimism	recall_optimism	abs_transition_optimism	abs_delta_optimism
extrapolative_index	synth_program_aligned_extrapolative_holdout_lite	38	clean_rna_to_zbio_ridge	oracle	0.9483045297643553	0.15210610750251466	0.9462853145380715	1.0	3.2918454095779857	0.9586618801764752	4.679914437668162	0.3888888888888889	0.2777777777777778	0.1412969638901688	0.08593919516360009	0.9568976514326595	0.9448689649276852	1.0	1.0	8.0	-0.010809143612345862	0.01061233689458796	0.0	0.010809143612345862	0.01061233689458796
extrapolative_index	synth_program_aligned_extrapolative_holdout_lite	38	image_to_zbio_ridge	train_only_recovered	0.9993232127124415	0.1855575436463664	0.9806781098613507	1.0	3.3965713508602833	0.9869175856698937	5.658330994169218	0.5	0.16666666666666666	0.16130959367892042	0.07595982889516979	0.9702271815105319	0.9364076589149656	1.0	1.0	8.0	-0.024247949967445975	-0.010450928350818844	0.0	0.024247949967445975	0.010450928350818844
extrapolative_index	synth_program_aligned_extrapolative_holdout_lite	38	rna_image_to_zbio_ridge	train_only_recovered	0.9981311112223011	0.18600589330170572	0.9811076485570291	1.0	3.3486503890204937	0.9903295126827276	5.662845724101984	0.5138888888888888	0.16666666666666666	0.16114968087366038	0.07500570177142597	0.9695502242849698	0.9347626928995161	1.0	1.0	8.0	-0.024856212428045338	-0.011557424272059302	0.0	0.024856212428045338	0.011557424272059302
random_perturbation	synth_program_aligned_random_holdout_lite	34	observed_rna_train_pca	train_only_recovered	0.0	0.44094243327744587	0.9304301484033725	0.8148148148148148	7.111705605318644	0.9678487378583097	9.183243746519496	0.25	0.3472222222222222	0.2092037784442137	-0.07501994658836268	0.7195455802570233	0.03303515731866259	1.0	1.0	8.0	-0.23173865483323217	-0.21088456814634915	0.18518518518518523	0.23173865483323217	0.21088456814634915
random_perturbation	synth_program_aligned_random_holdout_lite	34	true_z_bio	oracle	1.0	0.2087789940794576	0.9603311570589659	1.0	3.649001092304624	0.9718147458156864	5.763670737382625	0.4444444444444444	0.1527777777777778	0.1662946031809508	-0.1438966849035744	0.8266137481970246	-0.13433692952991005	1.0	1.0	8.0	-0.04248439089850681	-0.13371740886194128	0.0	0.04248439089850681	0.13371740886194128
random_perturbation	synth_program_aligned_random_holdout_lite	34	observed_rna_to_zbio_ridge	train_only_recovered	0.7118526072291577	0.08530039515233473	0.7909224579150648	0.7777777777777778	4.597993107309851	1.0948627414385896	5.659429087221775	0.3194444444444444	0.25	0.11842205013926593	-0.03822513910363953	0.8528154352463748	0.10626602986720829	1.0	1.0	8.0	0.033121654986931204	0.06189297733131005	0.2222222222222222	0.033121654986931204	0.06189297733131005
random_perturbation	synth_program_aligned_random_holdout_lite	34	batch_residualized_rna_to_zbio_ridge	train_only_recovered	0.7094127454847675	0.08525621642181108	0.7894252396426802	0.7777777777777778	4.5733694302775705	1.0919655686286276	5.756167838029058	0.3194444444444444	0.20833333333333334	0.1180719214856926	-0.03930398915516759	0.8519028580058208	0.10056873904477773	1.0	1.0	8.0	0.03281570506388151	0.062477618363140586	0.2222222222222222	0.03281570506388151	0.062477618363140586
random_perturbation	synth_program_aligned_random_holdout_lite	34	clean_rna_to_zbio_ridge	oracle	0.8796314499113922	0.13605744121076868	0.9476175190421169	1.0	2.9361546194956154	1.050486756956307	4.2797669858498635	0.3194444444444444	0.2777777777777778	0.10702091552067797	0.03825962234391325	0.8735742497978485	0.4643436889327289	1.0	1.0	8.0	-0.029036525690090714	-0.0740432692442684	0.0	0.029036525690090714	0.0740432692442684
random_perturbation	synth_program_aligned_random_holdout_lite	34	image_to_zbio_ridge	train_only_recovered	0.9990185980821233	0.2094159050323611	0.963642820008335	1.0	3.6570163708089627	0.9772402800543177	5.724812504779923	0.4166666666666667	0.1527777777777778	0.16639606096486392	-0.14607566678014136	0.8281496755789097	-0.13767029585479235	1.0	1.0	8.0	-0.043019844067497176	-0.13549314442942528	0.0	0.043019844067497176	0.13549314442942528
random_perturbation	synth_program_aligned_random_holdout_lite	34	rna_image_to_zbio_ridge	train_only_recovered	0.9975566920527209	0.21080877487549077	0.9653849992752103	1.0	3.6540745062393505	0.9822548310885111	5.72049098587115	0.4305555555555556	0.16666666666666666	0.16625370012016769	-0.14448858781729929	0.8275839397447946	-0.13618591438900818	1.0	1.0	8.0	-0.04455507475532308	-0.13780105953041566	0.0	0.04455507475532308	0.13780105953041566
