heldout_perturbation_ids	label_col	recall_at_1	recall_at_5	map	median_rank
1,7,8	perturbation_label	0.2962962962962963	0.8888888888888888	0.4099969190931079	2.0
1,7,8	cell_line_label	0.9629629629629629	1.0	0.6438137425011106	1.0
1,7,8	batch_label	0.37037037037037035	0.9629629629629629	0.4277241715826949	2.0
2,3,4	condition_key	0.2962962962962963	0.6666666666666666	0.368516358669051	3.0
2,3,4	condition_batch_label	0.1111111111111111	0.4444444444444444	0.27907253649770464	9.0
2,3,4	perturbation_label	0.37037037037037035	0.7407407407407407	0.4194348369904166	2.0
2,3,4	cell_line_label	0.7407407407407407	1.0	0.658701116486497	1.0
2,3,4	batch_label	0.3333333333333333	1.0	0.4067347089439191	2.0
2,3,5	condition_key	0.1111111111111111	0.5925925925925926	0.2840091007193404	4.0
2,3,5	condition_batch_label	0.037037037037037035	0.2962962962962963	0.19651064641805382	9.0
2,3,5	perturbation_label	0.2222222222222222	0.8888888888888888	0.39181911788870005	2.0
2,3,5	cell_line_label	0.5185185185185185	0.9629629629629629	0.5879794098415401	1.0
2,3,5	batch_label	0.3333333333333333	0.8888888888888888	0.42456272621417884	2.0
2,3,6	condition_key	0.18518518518518517	0.6666666666666666	0.33543229814585057	3.0
2,3,6	condition_batch_label	0.037037037037037035	0.4074074074074074	0.19773264942110258	7.0
2,3,6	perturbation_label	0.25925925925925924	0.7777777777777778	0.40898634191341365	3.0
2,3,6	cell_line_label	0.8148148148148148	1.0	0.6609069983976505	1.0
2,3,6	batch_label	0.2222222222222222	1.0	0.39562800286423844	2.0
2,3,7	condition_key	0.2222222222222222	0.6666666666666666	0.33564201078409667	3.0
2,3,7	condition_batch_label	0.037037037037037035	0.4444444444444444	0.20745254126659826	7.0
2,3,7	perturbation_label	0.2962962962962963	0.7407407407407407	0.4102155248100153	3.0
2,3,7	cell_line_label	0.7407407407407407	1.0	0.6540396767552775	1.0
2,3,7	batch_label	0.18518518518518517	0.8888888888888888	0.39604902087522337	2.0
2,3,8	condition_key	0.2962962962962963	0.5555555555555556	0.3459142701169319	4.0
2,3,8	condition_batch_label	0.07407407407407407	0.2962962962962963	0.20301351597647893	10.0
2,3,8	perturbation_label	0.3333333333333333	0.7777777777777778	0.4156198479323155	3.0
2,3,8	cell_line_label	0.7037037037037037	0.9629629629629629	0.5884275065822772	1.0
2,3,8	batch_label	0.25925925925925924	0.8888888888888888	0.4007926101487411	2.0
2,4,5	condition_key	0.14814814814814814	0.5925925925925926	0.293101009460372	4.0
2,4,5	condition_batch_label	0.037037037037037035	0.37037037037037035	0.20146192588429715	7.0
2,4,5	perturbation_label	0.3333333333333333	0.7777777777777778	0.4191169778761491	2.0
2,4,5	cell_line_label	0.5925925925925926	0.9629629629629629	0.5941451804504589	1.0
2,4,5	batch_label	0.37037037037037035	1.0	0.4196660212252968	2.0
2,4,6	condition_key	0.3333333333333333	0.7037037037037037	0.369207561906482	3.0
