seed	policy	benchmark	representation	heldout_train_perturbation_id	rows	inner_transition	inner_delta_cosine	inner_recall_at_1	inner_delta_rank	inner_magnitude_ratio
35	random_perturbation	synth_program_aligned_random_holdout_lite	true_z_bio	5	9	0.0972729709137365	0.9681854933845107	1.0	6.859118464712122	0.9005702439221278
35	random_perturbation	synth_program_aligned_random_holdout_lite	true_z_bio	6	9	0.1401385338055628	0.9844972818164204	1.0	6.798508505139149	0.9542864041721733
35	random_perturbation	synth_program_aligned_random_holdout_lite	true_z_bio	7	9	0.16035404659681085	0.9725811638168511	1.0	6.790027897380445	1.0289401822338222
35	random_perturbation	synth_program_aligned_random_holdout_lite	true_z_bio	8	9	-0.02339417930586301	0.09000134214054976	1.0	6.8327088120021005	0.4670860012248613
35	random_perturbation	synth_program_aligned_random_holdout_lite	true_z_bio	9	9	0.08012028859248994	0.9591715259066229	1.0	6.837663051705413	1.0732652021191558
35	random_perturbation	synth_program_aligned_random_holdout_lite	true_z_bio	10	9	0.13236587354899804	0.9822921284172873	1.0	6.911936909795395	0.9962102715697235
35	random_perturbation	synth_program_aligned_random_holdout_lite	observed_rna_pca	2	9	0.4227196628507815	0.9466354251457436	0.6666666666666666	7.573280898471546	1.030687225416371
35	random_perturbation	synth_program_aligned_random_holdout_lite	observed_rna_pca	3	9	0.5678549022359833	0.9528908829204179	1.0	7.577802723452747	0.967746714236837
35	random_perturbation	synth_program_aligned_random_holdout_lite	observed_rna_pca	5	9	0.2644437475495172	0.8660788948523974	0.6666666666666666	7.570444073046289	0.960599833532039
35	random_perturbation	synth_program_aligned_random_holdout_lite	observed_rna_pca	6	9	0.5113244501573158	0.9528408517256415	1.0	7.603132835537582	0.9342313366208255
35	random_perturbation	synth_program_aligned_random_holdout_lite	observed_rna_pca	7	9	0.621649004796492	0.9474685364000796	0.8888888888888888	7.514347629510683	0.9764067959556564
35	random_perturbation	synth_program_aligned_random_holdout_lite	observed_rna_pca	8	9	-0.060712406971692494	0.5045354949081239	0.6666666666666666	7.55155135004315	0.6056546909998941
35	random_perturbation	synth_program_aligned_random_holdout_lite	observed_rna_pca	9	9	0.2582210497190631	0.8747453772483007	0.6666666666666666	7.596623912455519	0.9494372852108847
35	random_perturbation	synth_program_aligned_random_holdout_lite	observed_rna_pca	10	9	0.5812156501213931	0.9453974294143739	0.7777777777777778	7.57137546993679	0.9284261075078041
36	random_perturbation	synth_program_aligned_random_holdout_lite	true_z_bio	2	9	0.3073192702062787	0.9717877386480124	1.0	6.767846463125503	0.9745129874071018
36	random_perturbation	synth_program_aligned_random_holdout_lite	true_z_bio	3	9	0.18876243647020796	0.9636937927908326	1.0	7.103864566387655	0.9125382932855347
36	random_perturbation	synth_program_aligned_random_holdout_lite	true_z_bio	5	9	0.16913886841707804	0.9523464094239623	1.0	6.883915508622394	1.0019927657705527
36	random_perturbation	synth_program_aligned_random_holdout_lite	true_z_bio	6	9	0.2710190433117663	0.968934504765844	1.0	7.149160954150847	1.029017607672864
36	random_perturbation	synth_program_aligned_random_holdout_lite	true_z_bio	7	9	0.15101381727383503	0.9585580952205175	1.0	6.987463995187115	1.0566650522688452
36	random_perturbation	synth_program_aligned_random_holdout_lite	true_z_bio	8	9	-0.1218161773692908	-0.23359622739422312	1.0	7.074000616083575	0.48918247677468507
36	random_perturbation	synth_program_aligned_random_holdout_lite	true_z_bio	9	9	0.20402157378612473	0.9453390361291384	1.0	7.277322160163567	0.9695469874452731
36	random_perturbation	synth_program_aligned_random_holdout_lite	true_z_bio	10	9	0.3015228093433835	0.9807827696806365	1.0	6.842068258768255	0.9579707752089308
36	random_perturbation	synth_program_aligned_random_holdout_lite	observed_rna_pca	2	9	0.27945372380641725	0.8902915200675214	1.0	7.359908116516971	0.9432882208364046
36	random_perturbation	synth_program_aligned_random_holdout_lite	observed_rna_pca	3	9	0.12589143992803536	0.6898261904047934	1.0	7.387359961731792	0.8837398988511262
36	random_perturbation	synth_program_aligned_random_holdout_lite	observed_rna_pca	5	9	0.16012263051528627	0.8224955233402974	1.0	7.408591217951505	0.7646089196368107
36	random_perturbation	synth_program_aligned_random_holdout_lite	observed_rna_pca	6	9	0.21104046639579865	0.8630358259979404	1.0	7.404652482369809	0.896061621905596
36	random_perturbation	synth_program_aligned_random_holdout_lite	observed_rna_pca	7	9	0.08965648675391838	0.7449270032630678	1.0	7.415905989216271	0.8885141476270448
36	random_perturbation	synth_program_aligned_random_holdout_lite	observed_rna_pca	8	9	0.1647055037391117	0.5816785640542999	1.0	7.377598921295011	0.3638880102740595
36	random_perturbation	synth_program_aligned_random_holdout_lite	observed_rna_pca	9	9	0.14070962912686408	0.8163970439196535	1.0	7.417081728444653	1.2497874462332623
36	random_perturbation	synth_program_aligned_random_holdout_lite	observed_rna_pca	10	9	0.1476762313359132	0.8237245555126977	1.0	7.431832580034293	1.014992133603772
37	random_perturbation	synth_program_aligned_random_holdout_lite	true_z_bio	2	9	0.08789543174090123	0.9571066747586744	1.0	6.71290600392695	0.9973165906476597
37	random_perturbation	synth_program_aligned_random_holdout_lite	true_z_bio	3	9	0.08490170062718036	0.9195401029584933	1.0	6.662146664096913	1.0084542577548428
37	random_perturbation	synth_program_aligned_random_holdout_lite	true_z_bio	5	9	0.19884878200380476	0.9548605266624415	1.0	6.623328511902667	0.9423893121194217
37	random_perturbation	synth_program_aligned_random_holdout_lite	true_z_bio	6	9	0.0932257802782596	0.9528498191633131	1.0	6.650138286489374	0.9519870482884466
37	random_perturbation	synth_program_aligned_random_holdout_lite	true_z_bio	7	9	0.08673912657270483	0.9112926668146694	1.0	6.556087571705713	0.9301517622781665
37	random_perturbation	synth_program_aligned_random_holdout_lite	true_z_bio	8	9	-0.09218429647815832	-0.45829802997028757	1.0	6.606842058794757	0.34541741950502725
37	random_perturbation	synth_program_aligned_random_holdout_lite	true_z_bio	9	9	0.17763274881401975	0.9563177339315511	1.0	6.663690307146415	1.0230887291610837
37	random_perturbation	synth_program_aligned_random_holdout_lite	true_z_bio	10	9	0.10485742005084481	0.9549350082989092	1.0	6.5999392897168985	0.9761737117438075
37	random_perturbation	synth_program_aligned_random_holdout_lite	observed_rna_pca	2	9	0.08182124852399424	0.7910952711375621	1.0	7.563413500539952	0.7830923559961136
37	random_perturbation	synth_program_aligned_random_holdout_lite	observed_rna_pca	3	9	0.06420761294139649	0.728958694039563	1.0	7.59668601602868	0.8761261034430933
