heldout_perturbation_id	seed	candidate	alpha	rows	transition_improvement	delta_cosine	condition_recall_at_1	condition_median_rank	delta_rank	magnitude_ratio	floor_transition_improvement	floor_delta_cosine	floor_condition_recall_at_1	transition_gap_vs_fold_floor	delta_cosine_gap_vs_fold_floor	recall_gap_vs_fold_floor
1	1	pooled_source_only_ridge	0.15	9	0.033183464759172096	0.458752470476419	0.8888888888888888	1.0	6.1542435509752424	0.6284571202876429	0.03400944060506556	0.45962470312726666	0.8888888888888888	-0.000825975845893466	-0.0008722326508476819	0.0
1	1	pooled_source_only_ridge	0.2	9	0.032783400225846054	0.4577411259998403	0.8888888888888888	1.0	6.148872906837474	0.6199490791057036	0.03400944060506556	0.45962470312726666	0.8888888888888888	-0.0012260403792195076	-0.0018835771274263724	0.0
1	1	pooled_source_only_ridge	0.35	9	0.0312113594971575	0.4520921691624855	0.8888888888888888	1.0	6.137054912855509	0.5986221913882813	0.03400944060506556	0.45962470312726666	0.8888888888888888	-0.002798081107908062	-0.007532533964781152	0.0
1	1	pooled_source_only_ridge	0.5	9	0.02908843430293452	0.4418928696272641	0.8888888888888888	1.0	6.134577242943762	0.5840398625846273	0.03400944060506556	0.45962470312726666	0.8888888888888888	-0.004921006302131041	-0.01773183350000257	0.0
1	1	pooled_source_only_ridge	0.75	9	0.02436316939644387	0.4132996927796599	0.8888888888888888	1.0	6.138145862070035	0.5757045789702043	0.03400944060506556	0.45962470312726666	0.8888888888888888	-0.00964627120862169	-0.046325010347606776	0.0
1	1	pooled_source_only_ridge	1.0	9	0.0182316249270356	0.37078920621975975	0.6666666666666666	1.0	6.102980712254156	0.5874059473339246	0.03400944060506556	0.45962470312726666	0.8888888888888888	-0.015777815678029963	-0.08883549690750692	-0.2222222222222222
1	1	pooled_full_ridge	0.0	9	0.03400944060506556	0.45962470312726666	0.8888888888888888	1.0	6.1726979671610485	0.6578173999664902	0.03400944060506556	0.45962470312726666	0.8888888888888888	0.0	0.0	0.0
1	1	pooled_full_ridge	0.025	9	0.03387842390309089	0.45944824124926825	0.8888888888888888	1.0	6.169460226572962	0.6525257430229149	0.03400944060506556	0.45962470312726666	0.8888888888888888	-0.00013101670197467052	-0.00017646187799841284	0.0
1	1	pooled_full_ridge	0.05	9	0.03373213314156424	0.45919408821873947	0.8888888888888888	1.0	6.166342937805492	0.6473748645998342	0.03400944060506556	0.45962470312726666	0.8888888888888888	-0.00027730746350132507	-0.00043061490852719375	0.0
1	1	pooled_full_ridge	0.075	9	0.033570572941642625	0.4588582404733584	0.8888888888888888	1.0	6.163355457455644	0.6423681555503769	0.03400944060506556	0.45962470312726666	0.8888888888888888	-0.00043886766342293715	-0.0007664626539082842	0.0
1	1	pooled_full_ridge	0.1	9	0.033393751962963535	0.45843661942104297	0.8888888888888888	1.0	6.160509551864487	0.637508991053216	0.03400944060506556	0.45962470312726666	0.8888888888888888	-0.0006156886421020275	-0.001188083706223697	0.0
1	1	pooled_full_ridge	0.15	9	0.03299438247145663	0.4573194288070688	0.8888888888888888	1.0	6.155303629442514	0.6282466602782535	0.03400944060506556	0.45962470312726666	0.8888888888888888	-0.0010150581336089287	-0.002305274320197892	0.0
1	1	pooled_full_ridge	0.2	9	0.03253417444821327	0.4558087951332053	0.8888888888888888	1.0	6.150878713309801	0.6196141883542023	0.03400944060506556	0.45962470312726666	0.8888888888888888	-0.001475266156852291	-0.0038159079940613405	0.0
1	1	pooled_full_ridge	0.35	9	0.03079097051508855	0.44857563863956545	0.8888888888888888	1.0	6.144483973773636	0.5977436713453586	0.03400944060506556	0.45962470312726666	0.8888888888888888	-0.003218470089977013	-0.01104906448770121	0.0
1	1	pooled_full_ridge	0.5	9	0.028511635567120615	0.4366130770075168	0.8888888888888888	1.0	6.1526801661133925	0.5823657505007588	0.03400944060506556	0.45962470312726666	0.8888888888888888	-0.005497805037944947	-0.023011626119749884	0.0
1	1	pooled_full_ridge	0.75	9	0.023560995804314352	0.40454126425425135	0.8888888888888888	1.0	6.186426535921773	0.5722271136725637	0.03400944060506556	0.45962470312726666	0.8888888888888888	-0.01044844480075121	-0.05508343887301531	0.0
1	1	pooled_full_ridge	1.0	9	0.017250735751563256	0.3581194948743148	0.6666666666666666	1.0	6.185634463125008	0.5817530020401868	0.03400944060506556	0.45962470312726666	0.8888888888888888	-0.016758704853502306	-0.10150520825295184	-0.2222222222222222
