left_out_perturbation_id	alpha_source_only	transition_gap_vs_full	recall_gap_vs_full	delta_cosine_gap_vs_full	transition_improvement	recall_at_1	delta_cosine
7	0.2	0.00010760139508955713	0.0	0.0020705256596111887	0.058221675350409674	0.7777777777777778	0.6814358667116642
7	0.35	2.697701277476483e-06	0.0	0.0022396385074792136	0.05811677165659759	0.7777777777777778	0.6816049795595323
7	0.5	-0.00025815390954438827	0.0	0.0013701681445383862	0.05785592004577573	0.7777777777777778	0.6807355091965914
7	0.75	-0.0010302408213477068	-0.11111111111111116	-0.00210547843943798	0.05708383313397241	0.6666666666666666	0.6772598626126151
7	1.0	-0.002208384559531887	-0.11111111111111116	-0.007796682814766864	0.05590568939578823	0.6666666666666666	0.6715686582372862
8	0.0	0.0	0.0	0.0	-0.018999318877425946	0.4444444444444444	0.1725483296665374
8	0.05	7.070947608389666e-05	0.0	-6.234377179514805e-05	-0.01892860940134205	0.4444444444444444	0.17248598589474226
8	0.1	0.00012520645246965473	0.0	-0.00016280400001603135	-0.01887411242495629	0.4444444444444444	0.17238552566652138
8	0.2	0.00018508633343605752	0.0	-0.0004701965518542073	-0.018814232543989888	0.4444444444444444	0.1720781331146832
8	0.35	0.00015055739517856256	0.11111111111111116	-0.0011691194196219168	-0.018848761482247383	0.5555555555555556	0.1713792102469155
8	0.5	-3.521303155628111e-05	0.11111111111111116	-0.002111545955473665	-0.019034531908982227	0.5555555555555556	0.17043678371106374
8	0.75	-0.0006849035147364416	0.11111111111111116	-0.004113960665801802	-0.019684222392162387	0.5555555555555556	0.1684343690007356
8	1.0	-0.0017614529304558202	0.11111111111111116	-0.0065301615838094795	-0.020760771807881766	0.5555555555555556	0.16601816808272793
