heldout_group	alpha_source_only	transition_gap_vs_full	recall_gap_vs_full	delta_cosine_gap_vs_full	transition_improvement	recall_at_1	delta_cosine
pert=5|dose=1|cell=1	0.025	0.0007385981061994356	0.0	0.003823265425355604	0.006897876858286911	1.0	0.4401725349233434
pert=5|dose=1|cell=1	0.05	0.0014396736386607465	0.0	0.007684895667802227	0.007598952390748222	1.0	0.44403416516579003
pert=5|dose=1|cell=1	0.075	0.0021026989106598766	0.0	0.011582275945611953	0.008261977662747352	1.0	0.44793154544359975
pert=5|dose=1|cell=1	0.1	0.002727155864946133	0.0	0.015509972684915996	0.008886434617033609	1.0	0.4518592421829038
pert=5|dose=1|cell=1	0.15	0.0038583442341925496	0.0	0.023415428455352327	0.010017622986280025	1.0	0.45976469795334013
pert=5|dose=1|cell=1	0.2	0.0048293089779940885	0.0	0.03126836720668935	0.010988587730081564	1.0	0.46761763670467715
pert=5|dose=1|cell=1	0.35	0.006744538613827326	0.0	0.0516072564942191	0.012903817365914802	1.0	0.4879565259922069
pert=5|dose=1|cell=1	0.5	0.007096649806864862	0.0	0.057864796849212696	0.013255928558952338	1.0	0.4942140663472005
pert=5|dose=1|cell=2	0.0	0.0	0.0	0.0	0.07520973592643954	1.0	0.7443758533769564
pert=5|dose=1|cell=2	0.025	-0.000188732345394918	0.0	-0.0005996882918930524	0.07502100358104462	1.0	0.7437761650850634
pert=5|dose=1|cell=2	0.05	-0.00040686450434297694	0.0	-0.0014956585260645916	0.07480287142209656	1.0	0.7428801948508919
pert=5|dose=1|cell=2	0.075	-0.000654529923260247	0.0	-0.0027082507324213134	0.07455520600317929	1.0	0.7416676026445351
pert=5|dose=1|cell=2	0.1	-0.000931855047874075	0.0	-0.004257812487379442	0.07427788087856546	1.0	0.740118040889577
pert=5|dose=1|cell=2	0.15	-0.0015759544971377243	0.0	-0.008446930298887989	0.07363378142930181	1.0	0.7359289230780685
pert=5|dose=1|cell=2	0.2	-0.002340030064028095	0.0	-0.014209868516983026	0.07286970586241144	1.0	0.7301659848599734
pert=5|dose=1|cell=2	0.35	-0.005358980792844095	0.0	-0.04183959055475828	0.06985075513359544	1.0	0.7025362628221982
pert=5|dose=1|cell=2	0.5	-0.009477169465655133	0.0	-0.08411435826439873	0.0657325664607844	1.0	0.6602614951125577
pert=6|dose=1|cell=0	0.0	0.0	0.0	0.0	0.03064627726947174	1.0	0.629539810426247
pert=6|dose=1|cell=0	0.025	0.0003446863531965487	0.0	0.003737014818595119	0.03099096362266829	1.0	0.6332768252448421
pert=6|dose=1|cell=0	0.05	0.0006672585697531756	0.0	0.007313031263888492	0.031313535839224915	1.0	0.6368528416901355
pert=6|dose=1|cell=0	0.075	0.0009673428757485843	0.0	0.010714548839775406	0.031613620145220324	1.0	0.6402543592660224
pert=6|dose=1|cell=0	0.1	0.0012445655739077334	0.0	0.01392817424013948	0.03189084284337947	1.0	0.6434679846663864
pert=6|dose=1|cell=0	0.15	0.0017289330648312777	0.0	0.019739585378882207	0.03237521033430302	1.0	0.6492793958051292
pert=6|dose=1|cell=0	0.2	0.0021173814964186057	0.0	0.024647900778900445	0.032763658765890345	1.0	0.6541877112051474
pert=6|dose=1|cell=0	0.35	0.0026777033242863686	0.0	0.03315809990249752	0.03332398059375811	1.0	0.6626979103287445
pert=6|dose=1|cell=0	0.5	0.002269944252855389	0.0	0.031500161852577424	0.03291622152232713	1.0	0.6610399722788244
pert=6|dose=1|cell=1	0.0	0.0	0.0	0.0	0.01643390548618943	1.0	0.5004466568957912
pert=6|dose=1|cell=1	0.025	0.0004424436046032501	0.0	0.003263935555948727	0.01687634909079268	1.0	0.5037105924517399
pert=6|dose=1|cell=1	0.05	0.0008587945509819228	0.0	0.006382800188104998	0.017292700037171354	1.0	0.5068294570838962
pert=6|dose=1|cell=1	0.075	0.0012488941613430296	0.0	0.009352894214624152	0.01768279964753246	1.0	0.5097995511104153
