split_seed	baseline	subset	condition	condition_label	perturbation_ids	pearson_delta_all	pearson_delta_de20	top20_de_overlap	mse_delta_all	mse_delta_de20	mse_expression_all	mse_expression_de20	direction_accuracy_de20	pred_delta_l2	true_delta_l2	de20_count
1	B2_additive_bounded_interaction_mlp	all_test	SET+KLF1	double	SET+KLF1	-0.12082018784041917	-0.5011542234313917	0.2	0.00557077769190073	0.8297914266586304	0.00557077769190073	0.8297914266586304	0.35	0.7122546434402466	5.168139457702637	20
1	B2_additive_bounded_interaction_mlp	all_test	PTPN12+SNAI1	double	PTPN12+SNAI1	-0.18249592055207156	-0.38143722541611513	0.25	0.002948114415630698	0.21530790627002716	0.0029481141828000546	0.21530790627002716	0.4	1.1492767333984375	3.477587938308716	20
1	B2_additive_bounded_interaction_mlp	all_test	BCL2L11+BAK1	double	BCL2L11+BAK1	0.08135059050604103	0.5718683114780744	0.1	0.0006288823788054287	0.018532589077949524	0.0006288823788054287	0.018532589077949524	0.6	1.1956366300582886	1.4203184843063354	20
1	B2_additive_bounded_interaction_mlp	all_test	IRF1+SET	double	IRF1+SET	0.1294052673405352	-0.0317596208788227	0.0	0.010150725953280926	0.9388728141784668	0.010150725953280926	0.9388728141784668	0.4	0.4011651277542114	7.197146892547607	20
1	B2_additive_bounded_interaction_mlp	all_test	CBL+CNN1	double	CBL+CNN1	0.18590796287540362	0.5122310123522559	0.25	0.011971129104495049	1.4871882200241089	0.011971129104495049	1.4871883392333984	0.65	1.6392395496368408	7.905875205993652	20
1	B2_additive_bounded_interaction_mlp	all_test	CBL+UBASH3B	double	CBL+UBASH3B	-0.0480776529114956	0.2202017542487396	0.2	0.011021905578672886	1.1735379695892334	0.011021905578672886	1.1735379695892334	0.6	1.5899871587753296	7.2094573974609375	20
1	B2_additive_bounded_interaction_mlp	all_test	CEBPB+MAPK1	double	CEBPB+MAPK1	-0.3646594845259788	-0.3377892849467276	0.1	0.008847532793879509	0.8298413157463074	0.008847532793879509	0.8298414349555969	0.25	0.39375606179237366	6.526955604553223	20
1	B2_additive_bounded_interaction_mlp	all_test	DUSP9+IGDCC3	double	DUSP9+IGDCC3	0.3660818451461755	0.2970533595678442	0.15	0.00839169044047594	0.999592661857605	0.00839169044047594	0.999592661857605	0.6	0.9810450673103333	6.803346633911133	20
1	B2_additive_bounded_interaction_mlp	all_test	CEBPB+OSR2	double	CEBPB+OSR2	0.19961564970608947	0.5916248286966528	0.15	0.01064225286245346	0.6389645338058472	0.01064225286245346	0.6389645338058472	0.65	2.45527982711792	7.421356201171875	20
1	B2_additive_bounded_interaction_mlp	all_test	CEBPE+PTPN12	double	CEBPE+PTPN12	-0.6157248050931944	-0.7341479972545359	0.4	0.011721637099981308	0.787858784198761	0.011721637099981308	0.787858784198761	0.05	5.040901184082031	3.4761605262756348	20
1	B2_additive_bounded_interaction_mlp	all_test	DUSP9+KLF1	double	DUSP9+KLF1	-0.09909597435846482	-0.4851968417982876	0.1	0.010695152916014194	1.5967363119125366	0.010695152916014194	1.5967363119125366	0.6	0.6759390830993652	7.247936725616455	20
1	B2_additive_bounded_interaction_mlp	all_test	FEV+ISL2	double	FEV+ISL2	0.1660025252906792	-0.13863122237587872	0.0	0.010614600963890553	0.8245537877082825	0.010614600963890553	0.8245537877082825	0.45	3.1541593074798584	7.152077674865723	20
1	B2_additive_bounded_interaction_mlp	all_test	POU3F2+CBFA2T3	double	POU3F2+CBFA2T3	-0.26380846618022646	-0.5791304771077292	0.1	0.00570070231333375	0.3366471230983734	0.00570070231333375	0.3366471230983734	0.3	1.413116216659546	4.815503120422363	20
1	B2_additive_bounded_interaction_mlp	all_test	CEBPE+SPI1	double	CEBPE+SPI1	-0.8888653562854375	-0.9855588469105961	0.4	0.06848181039094925	4.32598352432251	0.06848181039094925	4.32598352432251	0.0	7.492610931396484	11.602614402770996	20
