candidate	alpha	threshold	payload_count	mean_active_fraction	mean_safe_active_fraction	mean_unsafe_active_fraction	mean_transition_gap	min_transition_gap	mean_delta_cosine_gap	min_delta_cosine_gap	mean_recall_gap	min_recall_gap
pooled_source_only_ridge	0.5	0.5648073374497353	40	0.65	0.36666666666666664	0.2833333333333333	0.0013268765596222397	-0.004539685286904148	0.011057577240528579	-0.08389821617981782	-0.011111111111111117	-0.2222222222222222
pooled_source_only_ridge	0.5	0.5825407843479375	40	0.5	0.2666666666666667	0.2333333333333333	0.0006542898408233615	-0.004652418558465765	0.005808042031683365	-0.07050192464295213	-0.005555555555555555	-0.2222222222222222
pooled_source_only_ridge	0.5	0.599182777546023	40	0.35	0.19166666666666665	0.15833333333333333	0.00024668938369091945	-0.004316738849942783	0.00520388511308022	-0.06359338649319601	0.0	-0.11111111111111116
pooled_source_only_ridge	0.5	0.6163091215764697	40	0.25	0.1388888888888889	0.11111111111111112	0.0003184726108441419	-0.004316738849942783	0.003938025210229196	-0.06359338649319601	0.0	-0.11111111111111116
pooled_source_only_ridge	0.5	0.6329337647927171	40	0.15	0.075	0.075	0.00012332054892509915	-0.004316738849942783	0.00132752081014225	-0.06359338649319601	0.002777777777777779	0.0
pooled_source_only_ridge	0.5	0.6466900267597527	40	0.1	0.05277777777777778	0.04722222222222222	0.00013976182848868498	-0.0017739380401920433	0.002065042386178325	-0.040661740065636026	0.0	0.0
pooled_source_only_ridge	0.75	0.48473350017465383	40	0.75	0.3666666666666667	0.3833333333333333	0.00034099698431954914	-0.011204156498121925	-0.002400811241975327	-0.1250400707812354	-0.008333333333333338	-0.2222222222222222
pooled_source_only_ridge	0.75	0.5023133846006075	40	0.65	0.31111111111111106	0.3388888888888889	0.000307059479104192	-0.011204156498121925	-0.0033947440454704693	-0.10176226529695642	-0.005555555555555559	-0.2222222222222222
pooled_source_only_ridge	0.75	0.5226314127878071	40	0.5	0.24166666666666664	0.2583333333333333	0.00042646725090596753	-0.007893052321478522	0.001098219379615107	-0.10176226529695642	0.005555555555555557	-0.11111111111111116
pooled_source_only_ridge	0.75	0.5384817132201724	40	0.35	0.16111111111111112	0.18888888888888888	0.00028049910656318934	-0.007256821824792505	-0.0020406479740992557	-0.12199778282955764	0.005555555555555554	-0.11111111111111116
