pred_endpoint_to_source_cosine	pred_endpoint_to_target_cosine	source_to_target_cosine	pred_delta_to_true_delta_cosine	cell_line_id	perturbation_id	batch_id
0.9833302537694533	0.8593038557383581	0.9057490026553516	-0.25008785636348296	1	8	0
0.9458172185535823	0.9013440019173242	0.9190477299623117	0.2992023564608687	0	1	2
0.9084718042259929	0.8515755471844152	0.8589626345080442	0.3908107696141475	2	8	2
0.9853614856060894	0.9052133888760797	0.9241583226038054	0.023936045853308892	1	8	2
0.9555285290383094	0.9744646619869416	0.9299967442987556	0.7994010474032929	0	3	0
0.9757074395979287	0.9641148122390844	0.951853397128503	0.53445055183745	1	1	0
0.9618850360419344	0.9520594996879985	0.9697274810444942	0.30582344472835044	0	1	1
0.9700540403839791	0.9088736696245072	0.8632474423791898	0.6134162995632982	2	3	0
0.9641226438637425	0.9748423497712603	0.943251926077743	0.7489074091683793	1	3	0
0.9734468823576026	0.9530581084697568	0.9523702259681952	0.3938939479711395	0	1	0
0.9775969146831186	0.9363877857594021	0.9452895888900988	0.23218080498012597	2	1	0
0.9690373298723828	0.9636522636759709	0.9186351359370477	0.7597385792622777	1	3	1
0.894143198556864	0.9513382887288612	0.7929426886660639	0.8998529581191075	2	3	2
0.982510399344329	0.8851074404865833	0.9091397816842385	-0.006195860514718715	2	8	0
0.8998564756942758	0.9580805322334447	0.8943098517885397	0.7909669353424865	0	8	2
0.960195768580118	0.9094614156799496	0.8300171107484332	0.7427049450124277	2	3	1
0.9836206969676253	0.875986895496242	0.8763274276632934	0.24940838506738733	0	8	1
0.970886695985855	0.9781636619542531	0.9715458756438269	0.6214412374110966	2	1	1
0.9811260884982187	0.9478365982630158	0.9506791867982525	0.2808515619200845	0	8	0
0.8789005609279358	0.9354532974441182	0.8467711852919128	0.7747503317233364	2	4	2
0.9787302954296973	0.9483570291218418	0.9614354798470826	0.1805216669015716	1	1	2
0.9739607269275039	0.9706799871034615	0.9335423341349891	0.7528712097959915	1	4	0
