alpha_source_only	support_threshold	active_fraction	transition_improvement	recall_at_1	delta_cosine	delta_rank	magnitude_ratio	floor_gap_transition	floor_gap_recall	floor_gap_delta_cosine
0.35	0.7411913856850569	0.8888888888888888	0.008304739898206286	0.4444444444444444	0.4145213440636239	10.23785842574719	0.7465528751798494	0.00264283338201221	-0.037037037037037035	0.01655882736889347
0.35	0.7716336318941415	0.8148148148148148	0.00854447802667327	0.4444444444444444	0.4180882175902227	10.25249912229599	0.7502559726007202	0.002882571510479195	-0.037037037037037035	0.02012570089549226
0.35	0.8194066234673232	0.7407407407407407	0.007946829963308574	0.4444444444444444	0.4167489828979684	10.232777437393269	0.7560073442677159	0.0022849234471144985	-0.037037037037037035	0.018786466203237984
0.35	0.8351022750516954	0.6666666666666666	0.007053172084084127	0.4444444444444444	0.4070893515474283	10.315793145476992	0.7560613214074778	0.001391265567890051	-0.037037037037037035	0.009126834852697885
0.35	0.846594261214635	0.5925925925925926	0.006537953512020746	0.4444444444444444	0.4019583377608724	10.397799819149387	0.7559938228083668	0.0008760469958266704	-0.037037037037037035	0.003995821066141991
0.35	0.8758977253508734	0.5185185185185185	0.006652199924923229	0.4444444444444444	0.40120253116142807	10.387681676662828	0.7550636391812008	0.0009902934087291536	-0.037037037037037035	0.0032400144666976383
0.35	0.8842389912966211	0.4074074074074074	0.0065652248849553015	0.4444444444444444	0.4024661783521966	10.358347341808573	0.7600166261028548	0.0009033183687612257	-0.037037037037037035	0.004503661657466185
0.35	0.888804513352674	0.3333333333333333	0.006729185854485001	0.48148148148148145	0.4028046434074319	10.360658001682285	0.7620488236787923	0.0010672793382909256	0.0	0.0048421267127014556
0.35	0.9080497913691117	0.25925925925925924	0.006628260345899995	0.48148148148148145	0.40162249217104573	10.371630213080056	0.7643531849570934	0.0009663538297059191	0.0	0.0036599754763153025
0.35	0.9244297576755922	0.18518518518518517	0.0063943331855425495	0.48148148148148145	0.4002498646103153	10.346478891226212	0.7698119085984304	0.0007324266693484738	0.0	0.002287347915584881
0.35	0.9323819284524113	0.1111111111111111	0.0059986315101841475	0.48148148148148145	0.39934538668776226	10.352339645701514	0.7732405953530823	0.0003367249939900717	0.0	0.0013828699930318322
0.35	0.970448962190005	0.037037037037037035	0.00568152556637534	0.48148148148148145	0.3965316244994282	10.33533797786339	0.773041861431781	1.9619050181263892e-05	0.0	-0.0014308921953022358
0.35	0.970449962190005	0.0	0.005661906516194076	0.48148148148148145	0.39796251669473043	10.283476977293052	0.7744371112179363	0.0	0.0	0.0
0.5	0.6927830792808186	1.0	0.008424869593716137	0.4074074074074074	0.41774632947901735	10.148040177418382	0.7414826799982258	0.002762963077522061	-0.07407407407407407	0.019783812784286925
0.5	0.7411913856850569	0.8888888888888888	0.008891292462919984	0.4074074074074074	0.41796408155693043	10.204806556662835	0.7387939086204425	0.003229385946725908	-0.07407407407407407	0.020001564862200005
0.5	0.7716336318941415	0.8148148148148148	0.009273547682603212	0.4074074074074074	0.4236799129242809	10.239496114254234	0.7436923542999727	0.003611641166409136	-0.07407407407407407	0.025717396229550493
0.5	0.8194066234673232	0.7407407407407407	0.00847077092205413	0.4074074074074074	0.42223209911400233	10.215770111306734	0.7515248078065937	0.0028088644058600542	-0.07407407407407407	0.024269582419271907
0.5	0.8351022750516954	0.6666666666666666	0.007241282781317078	0.4074074074074074	0.4084733100756415	10.345406921807568	0.7510807326410401	0.001579376265123002	-0.07407407407407407	0.010510793380911099
0.5	0.846594261214635	0.5925925925925926	0.0065883272929278475	0.4074074074074074	0.4017258112073225	10.470781869206606	0.7504819866823103	0.0009264207767337718	-0.07407407407407407	0.0037632945125920525
0.5	0.8758977253508734	0.5185185185185185	0.006772150276021943	0.4074074074074074	0.40055199928915863	10.454646490295039	0.7488794964276684	0.0011102437598278676	-0.07407407407407407	0.002589482594428205
0.5	0.8842389912966211	0.4074074074074074	0.006720345844247756	0.4074074074074074	0.40269804568859685	10.404989989612027	0.7554821170530942	0.0010584393280536801	-0.07407407407407407	0.0047355289938664225
0.5	0.888804513352674	0.3333333333333333	0.006990734326185252	0.4444444444444444	0.4033549101058234	10.406745283910885	0.7582198602917836	0.001328827809991176	-0.037037037037037035	0.005392393411092988
0.5	0.9080497913691117	0.25925925925925924	0.006881589896369326	0.48148148148148145	0.40187713237641143	10.415636945473965	0.7613165517016935	0.0012196833801752498	0.0	0.003914615681681
0.5	0.9244297576755922	0.18518518518518517	0.006633916923324247	0.48148148148148145	0.40066613151370517	10.379760045583094	0.7683050154025821	0.0009720104071301713	0.0	0.002703614818974742
0.5	0.9323819284524113	0.1111111111111111	0.0061027737484679045	0.48148148148148145	0.39976904312253625	10.385886156195838	0.7729570747029195	0.0004408672322738288	0.0	0.0018065264278058213
0.5	0.970448962190005	0.037037037037037035	0.005675849608290266	0.48148148148148145	0.3958975581056513	10.358274813182941	0.7725143816008413	1.3943092096190685e-05	0.0	-0.0020649585890791244
0.5	0.970449962190005	0.0	0.005661906516194076	0.48148148148148145	0.39796251669473043	10.283476977293052	0.7744371112179363	0.0	0.0	0.0
