feature	direction	threshold	mean_active_fraction	mean_oracle_safe_active_fraction	mean_unsafe_active_fraction	mean_transition_gap	min_transition_gap	mean_delta_cosine_gap	min_delta_cosine_gap	mean_recall_gap	min_recall_gap
floor_delta_support	ge	0.9051210838128426	0.14074074074074075	0.1037037037037037	0.037037037037037035	0.0008885488476985243	7.81040813144368e-05	0.0031562857067810924	0.0006685576608826405	-0.007407407407407407	-0.037037037037037035
source_support	le	0.9893206100749	0.1259259259259259	0.0962962962962963	0.029629629629629627	0.0008499858957772271	0.0004886458726465163	0.0021747474101645793	-0.003299962051631633	-0.007407407407407407	-0.07407407407407407
blend_delta_support	le	0.8261900938260057	0.18518518518518517	0.14074074074074075	0.04444444444444444	0.0007080600968372716	-0.0001713775908605492	0.010211611589364279	-0.00823921494027513	0.007407407407407407	0.0
support_gain	le	-0.013913786139304553	0.07407407407407407	0.05185185185185185	0.02222222222222222	0.0006671695609876875	-6.467329922571312e-05	0.0017883557755416612	-0.0015155676314623778	-0.007407407407407407	-0.037037037037037035
source_support	ge	0.9960755576284471	0.22962962962962963	0.14814814814814814	0.08148148148148147	0.000636913338876212	0.00023137740268743684	0.008084878320823174	-0.007633764731339421	0.0	-0.037037037037037035
floor_delta_support	le	0.7922141006866834	0.16296296296296295	0.1259259259259259	0.037037037037037035	0.0005889190197868249	-0.0006612114432752161	0.010013049507397388	-0.009736547084005343	0.014814814814814814	0.0
blend_to_floor_norm_ratio	ge	0.9721570244314803	0.17037037037037037	0.11111111111111112	0.059259259259259255	0.000565289178543681	-1.6613566912519707e-05	0.01092060224930238	-0.0009489999626665635	0.007407407407407407	0.0
floor_blend_delta_cosine	le	0.9643080005611732	0.15555555555555553	0.11111111111111112	0.04444444444444444	0.000561719498075264	-0.00013817801575583162	0.010163202056584775	-0.005495592747429945	-0.007407407407407407	-0.037037037037037035
blend_delta_support	le	0.7904762629271456	0.11111111111111112	0.08148148148148147	0.029629629629629627	0.0003844333669252151	-0.0006612114432752161	0.002998725336586272	-0.009736547084005343	0.014814814814814814	0.0
blend_minus_floor_norm	le	0.04483998042666908	0.22222222222222224	0.14814814814814814	0.07407407407407407	0.0003603514268349252	-4.606218157784253e-05	0.004537526543949155	-0.0011437375595320654	0.014814814814814814	0.0
blend_minus_floor_norm	le	0.039865533442597544	0.14814814814814814	0.1037037037037037	0.04444444444444444	0.0001910413394008722	-0.00013313374216323767	0.0027399571549938883	-0.000777099937391057	0.0	0.0
source_support	ge	0.9976386023447664	0.1259259259259259	0.08148148148148147	0.04444444444444444	0.00017345600020955386	-0.0008694340183022118	0.0035011321453107037	-0.011257121254555968	0.0	-0.037037037037037035
support_gain	le	-0.030949299926927874	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
