perturbation,dose,time,cell_line,perturbation_type,target_gene,moa,condition_key_coarse,condition_key_medium,condition_key_fine,condition_key_with_type,bio_key,condition_id,condition_key,batch,plate,run,well,site,z_plane,imaging_channel,sequencing_lane,library_id
BRD-K63550407,10uM,24h,A549,compound,NA,NFkB pathway inhibitor,BRD-K63550407,BRD-K63550407|10uM|24h,BRD-K63550407|10uM|24h|A549,BRD-K63550407|compound|10uM|24h|A549,BRD-K63550407|10uM,BRD-K63550407|10uM,BRD-K63550407|10uM,SQ00015142,SQ00015142,NA,G07,profile,NA,NA,NA,NA
BRD-K64504314,10uM,24h,A549,compound,NA,Progesterone receptor agonist,BRD-K64504314,BRD-K64504314|10uM|24h,BRD-K64504314|10uM|24h|A549,BRD-K64504314|compound|10uM|24h|A549,BRD-K64504314|10uM,BRD-K64504314|10uM,BRD-K64504314|10uM,SQ00015142,SQ00015142,NA,J01,profile,NA,NA,NA,NA
BRD-K64538373,10uM,24h,A549,compound,NA,NA,BRD-K64538373,BRD-K64538373|10uM|24h,BRD-K64538373|10uM|24h|A549,BRD-K64538373|compound|10uM|24h|A549,BRD-K64538373|10uM,BRD-K64538373|10uM,BRD-K64538373|10uM,SQ00015142,SQ00015142,NA,I07,profile,NA,NA,NA,NA
BRD-K64622987,10uM,24h,A549,compound,NA,Cholesteryl ester transfer protein inhibitor,BRD-K64622987,BRD-K64622987|10uM|24h,BRD-K64622987|10uM|24h|A549,BRD-K64622987|compound|10uM|24h|A549,BRD-K64622987|10uM,BRD-K64622987|10uM,BRD-K64622987|10uM,SQ00015146,SQ00015146,NA,I01,profile,NA,NA,NA,NA
BRD-K64785675,10uM,24h,A549,compound,NA,NA,BRD-K64785675,BRD-K64785675|10uM|24h,BRD-K64785675|10uM|24h|A549,BRD-K64785675|compound|10uM|24h|A549,BRD-K64785675|10uM,BRD-K64785675|10uM,BRD-K64785675|10uM,SQ00015146,SQ00015146,NA,I07,profile,NA,NA,NA,NA
BRD-K65170927,10uM,24h,A549,compound,NA,Tachykinin antagonist,BRD-K65170927,BRD-K65170927|10uM|24h,BRD-K65170927|10uM|24h|A549,BRD-K65170927|compound|10uM|24h|A549,BRD-K65170927|10uM,BRD-K65170927|10uM,BRD-K65170927|10uM,SQ00015146,SQ00015146,NA,K01,profile,NA,NA,NA,NA
BRD-K65678996,10uM,24h,A549,compound,NA,Acetylcholine receptor agonist|GABA receptor agonist,BRD-K65678996,BRD-K65678996|10uM|24h,BRD-K65678996|10uM|24h|A549,BRD-K65678996|compound|10uM|24h|A549,BRD-K65678996|10uM,BRD-K65678996|10uM,BRD-K65678996|10uM,SQ00015146,SQ00015146,NA,K13,profile,NA,NA,NA,NA
BRD-K65992024,10uM,24h,A549,compound,NA,AGE inhibitor,BRD-K65992024,BRD-K65992024|10uM|24h,BRD-K65992024|10uM|24h|A549,BRD-K65992024|compound|10uM|24h|A549,BRD-K65992024|10uM,BRD-K65992024|10uM,BRD-K65992024|10uM,SQ00015142,SQ00015142,NA,L01,profile,NA,NA,NA,NA
BRD-K66538826,10uM,24h,A549,compound,NA,FLT3 inhibitor|KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor|RAD51 inhibitor|RET tyrosine kinase inhibitor,BRD-K66538826,BRD-K66538826|10uM|24h,BRD-K66538826|10uM|24h|A549,BRD-K66538826|compound|10uM|24h|A549,BRD-K66538826|10uM,BRD-K66538826|10uM,BRD-K66538826|10uM,SQ00015146,SQ00015146,NA,M13,profile,NA,NA,NA,NA
BRD-K68065987,10uM,24h,A549,compound,NA,AKT inhibitor,BRD-K68065987,BRD-K68065987|10uM|24h,BRD-K68065987|10uM|24h|A549,BRD-K68065987|compound|10uM|24h|A549,BRD-K68065987|10uM,BRD-K68065987|10uM,BRD-K68065987|10uM,SQ00014816,SQ00014816,NA,A19,profile,NA,NA,NA,NA
BRD-K68346641,10uM,24h,A549,compound,NA,Topoisomerase inhibitor,BRD-K68346641,BRD-K68346641|10uM|24h,BRD-K68346641|10uM|24h|A549,BRD-K68346641|compound|10uM|24h|A549,BRD-K68346641|10uM,BRD-K68346641|10uM,BRD-K68346641|10uM,SQ00014816,SQ00014816,NA,D07,profile,NA,NA,NA,NA
BRD-K68488863,10uM,24h,A549,compound,NA,Aurora kinase inhibitor|FLT3 inhibitor|VEGFR inhibitor,BRD-K68488863,BRD-K68488863|10uM|24h,BRD-K68488863|10uM|24h|A549,BRD-K68488863|compound|10uM|24h|A549,BRD-K68488863|10uM,BRD-K68488863|10uM,BRD-K68488863|10uM,SQ00014812,SQ00014812,NA,L19,profile,NA,NA,NA,NA
BRD-K68693535,10uM,24h,A549,compound,NA,Adrenergic receptor agonist,BRD-K68693535,BRD-K68693535|10uM|24h,BRD-K68693535|10uM|24h|A549,BRD-K68693535|compound|10uM|24h|A549,BRD-K68693535|10uM,BRD-K68693535|10uM,BRD-K68693535|10uM,SQ00014812,SQ00014812,NA,D19,profile,NA,NA,NA,NA
BRD-K69726342,10uM,24h,A549,compound,NA,HMGCR inhibitor,BRD-K69726342,BRD-K69726342|10uM|24h,BRD-K69726342|10uM|24h|A549,BRD-K69726342|compound|10uM|24h|A549,BRD-K69726342|10uM,BRD-K69726342|10uM,BRD-K69726342|10uM,SQ00014816,SQ00014816,NA,H01,profile,NA,NA,NA,NA
BRD-K69776681,10uM,24h,A549,compound,NA,PLK inhibitor,BRD-K69776681,BRD-K69776681|10uM|24h,BRD-K69776681|10uM|24h|A549,BRD-K69776681|compound|10uM|24h|A549,BRD-K69776681|10uM,BRD-K69776681|10uM,BRD-K69776681|10uM,SQ00014816,SQ00014816,NA,H07,profile,NA,NA,NA,NA
BRD-K70301876,10uM,24h,A549,compound,NA,Selective serotonin reuptake inhibitor (SSRI),BRD-K70301876,BRD-K70301876|10uM|24h,BRD-K70301876|10uM|24h|A549,BRD-K70301876|compound|10uM|24h|A549,BRD-K70301876|10uM,BRD-K70301876|10uM,BRD-K70301876|10uM,SQ00014816,SQ00014816,NA,H19,profile,NA,NA,NA,NA
BRD-K70358946,10uM,24h,A549,compound,NA,Serotonin receptor agonist|Serotonin receptor antagonist,BRD-K70358946,BRD-K70358946|10uM|24h,BRD-K70358946|10uM|24h|A549,BRD-K70358946|compound|10uM|24h|A549,BRD-K70358946|10uM,BRD-K70358946|10uM,BRD-K70358946|10uM,SQ00014812,SQ00014812,NA,F19,profile,NA,NA,NA,NA
BRD-K70401845,10uM,24h,A549,compound,NA,EGFR inhibitor,BRD-K70401845,BRD-K70401845|10uM|24h,BRD-K70401845|10uM|24h|A549,BRD-K70401845|compound|10uM|24h|A549,BRD-K70401845|10uM,BRD-K70401845|10uM,BRD-K70401845|10uM,SQ00014812,SQ00014812,NA,G01,profile,NA,NA,NA,NA
BRD-K70505054,10uM,24h,A549,compound,NA,Histamine receptor antagonist,BRD-K70505054,BRD-K70505054|10uM|24h,BRD-K70505054|10uM|24h|A549,BRD-K70505054|compound|10uM|24h|A549,BRD-K70505054|10uM,BRD-K70505054|10uM,BRD-K70505054|10uM,SQ00014816,SQ00014816,NA,I07,profile,NA,NA,NA,NA
BRD-K70507123,10uM,24h,A549,compound,NA,Adenosine receptor antagonist,BRD-K70507123,BRD-K70507123|10uM|24h,BRD-K70507123|10uM|24h|A549,BRD-K70507123|compound|10uM|24h|A549,BRD-K70507123|10uM,BRD-K70507123|10uM,BRD-K70507123|10uM,SQ00014816,SQ00014816,NA,J07,profile,NA,NA,NA,NA
BRD-K70592483,10uM,24h,A549,compound,NA,DNA methylase inhibitor|Protein synthesis inhibitor,BRD-K70592483,BRD-K70592483|10uM|24h,BRD-K70592483|10uM|24h|A549,BRD-K70592483|compound|10uM|24h|A549,BRD-K70592483|10uM,BRD-K70592483|10uM,BRD-K70592483|10uM,SQ00014816,SQ00014816,NA,I19,profile,NA,NA,NA,NA
BRD-K71289571,10uM,24h,A549,compound,NA,Leukotriene receptor antagonist,BRD-K71289571,BRD-K71289571|10uM|24h,BRD-K71289571|10uM|24h|A549,BRD-K71289571|compound|10uM|24h|A549,BRD-K71289571|10uM,BRD-K71289571|10uM,BRD-K71289571|10uM,SQ00014812,SQ00014812,NA,J01,profile,NA,NA,NA,NA
BRD-K71822263,10uM,24h,A549,compound,NA,NA,BRD-K71822263,BRD-K71822263|10uM|24h,BRD-K71822263|10uM|24h|A549,BRD-K71822263|compound|10uM|24h|A549,BRD-K71822263|10uM,BRD-K71822263|10uM,BRD-K71822263|10uM,SQ00014816,SQ00014816,NA,M07,profile,NA,NA,NA,NA
BRD-K72414522,10uM,24h,A549,compound,NA,CDK inhibitor,BRD-K72414522,BRD-K72414522|10uM|24h,BRD-K72414522|10uM|24h|A549,BRD-K72414522|compound|10uM|24h|A549,BRD-K72414522|10uM,BRD-K72414522|10uM,BRD-K72414522|10uM,SQ00014812,SQ00014812,NA,M13,profile,NA,NA,NA,NA
BRD-K73088654,10uM,24h,A549,compound,NA,DNA synthesis inhibitor,BRD-K73088654,BRD-K73088654|10uM|24h,BRD-K73088654|10uM|24h|A549,BRD-K73088654|compound|10uM|24h|A549,BRD-K73088654|10uM,BRD-K73088654|10uM,BRD-K73088654|10uM,SQ00014816,SQ00014816,NA,P13,profile,NA,NA,NA,NA
BRD-K73524797,10uM,24h,A549,compound,NA,NA,BRD-K73524797,BRD-K73524797|10uM|24h,BRD-K73524797|10uM|24h|A549,BRD-K73524797|compound|10uM|24h|A549,BRD-K73524797|10uM,BRD-K73524797|10uM,BRD-K73524797|10uM,SQ00014820,SQ00014820,NA,A07,profile,NA,NA,NA,NA
BRD-K74065929,10uM,24h,A549,compound,NA,P38 MAPK inhibitor,BRD-K74065929,BRD-K74065929|10uM|24h,BRD-K74065929|10uM|24h|A549,BRD-K74065929|compound|10uM|24h|A549,BRD-K74065929|10uM,BRD-K74065929|10uM,BRD-K74065929|10uM,SQ00014820,SQ00014820,NA,C01,profile,NA,NA,NA,NA
BRD-K74305673,10uM,24h,A549,compound,NA,IKK inhibitor|NFkB pathway inhibitor,BRD-K74305673,BRD-K74305673|10uM|24h,BRD-K74305673|10uM|24h|A549,BRD-K74305673|compound|10uM|24h|A549,BRD-K74305673|10uM,BRD-K74305673|10uM,BRD-K74305673|10uM,SQ00014820,SQ00014820,NA,C13,profile,NA,NA,NA,NA
BRD-K75649340,10uM,24h,A549,compound,NA,Purine antagonist,BRD-K75649340,BRD-K75649340|10uM|24h,BRD-K75649340|10uM|24h|A549,BRD-K75649340|compound|10uM|24h|A549,BRD-K75649340|10uM,BRD-K75649340|10uM,BRD-K75649340|10uM,SQ00015044,SQ00015044,NA,J19,profile,NA,NA,NA,NA
BRD-K77641333,10uM,24h,A549,compound,NA,Adrenergic receptor agonist,BRD-K77641333,BRD-K77641333|10uM|24h,BRD-K77641333|10uM|24h|A549,BRD-K77641333|compound|10uM|24h|A549,BRD-K77641333|10uM,BRD-K77641333|10uM,BRD-K77641333|10uM,SQ00015044,SQ00015044,NA,L19,profile,NA,NA,NA,NA
BRD-K77947974,10uM,24h,A549,compound,NA,Dopamine receptor antagonist,BRD-K77947974,BRD-K77947974|10uM|24h,BRD-K77947974|10uM|24h|A549,BRD-K77947974|compound|10uM|24h|A549,BRD-K77947974|10uM,BRD-K77947974|10uM,BRD-K77947974|10uM,SQ00014820,SQ00014820,NA,L07,profile,NA,NA,NA,NA
BRD-K78096648,10uM,24h,A549,compound,NA,Dopamine receptor antagonist,BRD-K78096648,BRD-K78096648|10uM|24h,BRD-K78096648|10uM|24h|A549,BRD-K78096648|compound|10uM|24h|A549,BRD-K78096648|10uM,BRD-K78096648|10uM,BRD-K78096648|10uM,SQ00014820,SQ00014820,NA,K19,profile,NA,NA,NA,NA
