split_seed	baseline	subset	condition	condition_label	perturbation_ids	pearson_delta_all	pearson_delta_de20	top20_de_overlap	mse_delta_all	mse_delta_de20	mse_expression_all	mse_expression_de20	direction_accuracy_de20	pred_delta_l2	true_delta_l2	de20_count
1	global_train_mean	all_test	CDKN1A+ctrl	single	CDKN1A	0.7265224266062201	0.9148153037011517	0.4	0.0015804767608642578	0.12729018926620483	0.0015804767608642578	0.12729018926620483	0.95	2.174917459487915	3.9689531326293945	20
1	global_train_mean	all_test	PTPN1+ctrl	single	PTPN1	0.6818328135607242	0.8672017808621648	0.35	0.0026313888374716043	0.2613227963447571	0.0026313888374716043	0.2613227963447571	0.85	2.174917459487915	4.736909866333008	20
1	global_train_mean	all_test	PTPN12+ctrl	single	PTPN12	0.46727900250057464	0.8007532442435024	0.15	0.001498510013334453	0.11130515486001968	0.001498510013334453	0.11130515486001968	0.8	2.174917459487915	2.97251033782959	20
1	global_train_mean	all_test	ctrl+MAP7D1	single	MAP7D1	0.010609710850693144	-0.014021386673631977	0.0	0.0014469082234427333	0.09247676283121109	0.0014469082234427333	0.09247676283121109	0.5	2.174917459487915	1.6392205953598022	20
1	global_train_mean	all_test	CKS1B+ctrl	single	CKS1B	0.5513252463476769	0.6072724732424382	0.1	0.0026963569689542055	0.2881539463996887	0.0026963569689542055	0.2881539463996887	0.85	2.174917459487915	4.409226894378662	20
1	global_train_mean	all_test	PLK4+ctrl	single	PLK4	0.5574067937852447	0.8805460951445806	0.2	0.0007519648061133921	0.006285531911998987	0.0007519648061133921	0.006285531911998987	0.45	2.174917459487915	1.9297727346420288	20
1	global_train_mean	all_test	BPGM+ctrl	single	BPGM	0.48997993075866164	0.8078500068546326	0.2	0.0020948683377355337	0.2284547984600067	0.0020948683377355337	0.2284548282623291	0.95	2.174917459487915	3.691467761993408	20
1	global_train_mean	all_test	C3orf72+ctrl	single	C3orf72	0.7129655932390986	0.8321941734920383	0.35	0.0016890227561816573	0.12133362144231796	0.0016890227561816573	0.12133362144231796	0.85	2.174917459487915	4.044492244720459	20
1	global_train_mean	all_test	FOXL2+ctrl	single	FOXL2	0.5602331110026487	0.26710024042550207	0.3	0.001529474277049303	0.14724859595298767	0.001529474277049303	0.14724859595298767	0.75	2.174917459487915	3.339719772338867	20
1	global_train_mean	all_test	MAP7D1+ctrl	single	MAP7D1	0.054662316397983794	-0.03783032526010757	0.0	0.0014243166660889983	0.09406201541423798	0.0014243166660889983	0.09406201541423798	0.45	2.174917459487915	1.7045717239379883	20
1	global_train_mean	all_test	ctrl+CDKN1A	single	CDKN1A	0.6694688251108858	0.8583042536133265	0.35	0.0022665346041321754	0.18367163836956024	0.0022665346041321754	0.18367163836956024	0.95	2.174917459487915	4.4146952629089355	20
1	global_train_mean	all_test	ISL2+ctrl	single	ISL2	0.2725712429342856	-0.23694261946054104	0.2	0.001013985020108521	0.08031047880649567	0.001013985020108521	0.08031047880649567	0.5	2.174917459487915	1.4726707935333252	20
1	global_train_mean	all_test	ARID1A+ctrl	single	ARID1A	0.6905366104512674	0.7594988935760772	0.35	0.0034485431388020515	0.22753331065177917	0.0034485431388020515	0.22753331065177917	0.95	2.174917459487915	5.353696823120117	20
1	global_train_mean	all_test	NCL+ctrl	single	NCL	0.25768341278639895	-0.3100081094736561	0.05	0.001113584148697555	0.05410546064376831	0.001113584148697555	0.05410546064376831	0.3	2.174917459487915	1.6389509439468384	20
1	global_train_mean	all_test	ctrl+COL2A1	single	COL2A1	0.24331632222922545	0.10304148796168335	0.15	0.004669612273573875	0.564949631690979	0.004669612273573875	0.564949631690979	0.65	2.174917459487915	4.908901214599609	20
1	global_train_mean	all_test	BCL2L11+ctrl	single	BCL2L11	0.16975484048189007	0.3835487980875524	0.05	0.0009753322810865939	0.018977981060743332	0.0009753322810865939	0.018977981060743332	0.25	2.174917459487915	0.9209944009780884	20
1	global_train_mean	all_test	SET+ctrl	single	SET	0.3101868521869296	0.4982797313653914	0.05	0.004536117427051067	0.36436960101127625	0.004536117427051067	0.36436960101127625	0.6	2.174917459487915	4.982378959655762	20
1	global_train_mean	all_test	ctrl+SPI1	single	SPI1	0.7336369007624842	0.8538350030279538	0.25	0.004007199313491583	0.33089905977249146	0.004007199313491583	0.33089905977249146	0.85	2.174917459487915	5.842154502868652	20
1	global_train_mean	all_test	CEBPB+ctrl	single	CEBPB	0.5808351231765206	0.1839834064055192	0.15	0.005175034049898386	0.4745216965675354	0.005175034049898386	0.4745216965675354	0.8	2.174917459487915	6.067768096923828	20
1	global_train_mean	all_test	CDKN1B+ctrl	single	CDKN1B	0.7365319860572288	0.9368525740926675	0.45	0.0011932025663554668	0.08873701095581055	0.0011932025663554668	0.08873701095581055	1.0	2.174917459487915	3.553652286529541	20
1	global_train_mean	all_test	ZBTB10+ctrl	single	ZBTB10	0.6097965637051274	0.6039026745933072	0.45	0.004685429856181145	0.28218212723731995	0.004685429856181145	0.28218212723731995	0.8	2.174917459487915	5.878950119018555	20
1	global_train_mean	all_test	ctrl+ISL2	single	ISL2	0.25581522258979217	-0.14992180108365297	0.1	0.001105588162317872	0.06942543387413025	0.001105588162317872	0.06942543387413025	0.5	2.174917459487915	1.6502584218978882	20
1	global_train_mean	all_test	ctrl+CEBPB	single	CEBPB	0.5919293983507731	0.3476536146308149	0.2	0.0063869887962937355	0.5220634937286377	0.0063869887962937355	0.5220634937286377	0.85	2.174917459487915	6.697555065155029	20
1	global_train_mean	all_test	ctrl+PTPN12	single	PTPN12	0.41992353841860325	0.7658508113387772	0.15	0.001989613054320216	0.15469078719615936	0.001989613054320216	0.15469078719615936	0.75	2.174917459487915	3.382577657699585	20
1	global_train_mean	all_test	ctrl+FOXL2	single	FOXL2	0.599707785449703	0.3492699626523841	0.35	0.0014205850893631577	0.1358754187822342	0.0014205850893631577	0.135875403881073	0.7	2.174917459487915	3.3435215950012207	20
1	global_train_mean	all_test	SPI1+ctrl	single	SPI1	0.7631639705159192	0.868485291539425	0.35	0.007882180623710155	0.5396860837936401	0.007882180623710155	0.5396860241889954	0.8	2.174917459487915	7.804998397827148	20
